Date,Time,time_passed_since_start,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
2026-04-08,15:30:55.638994,930488,59,0.22125,177,0.66375,9317,20.96325,521
2026-04-08,15:30:55.638994,930519,64,0.24,170,0.6375,9317,20.96325,0
2026-04-08,15:30:55.638994,930551,56,0.21,176,0.66,9319,20.96775,0
2026-04-08,15:30:55.638994,930583,71,0.26625,167,0.62625,9318,20.9655,0
2026-04-08,15:30:55.638994,930614,70,0.2625,178,0.6675,9318,20.9655,0
2026-04-08,15:30:55.638994,930645,68,0.255,172,0.645,9318,20.9655,0
2026-04-08,15:30:55.638994,930677,62,0.2325,169,0.63375,9318,20.9655,0
2026-04-08,15:30:55.638994,930708,62,0.2325,167,0.62625,9317,20.96325,0
2026-04-08,15:30:55.638994,930739,64,0.24,173,0.64875,9317,20.96325,0
2026-04-08,15:30:55.638994,930771,68,0.255,173,0.64875,9318,20.9655,0
2026-04-08,15:30:55.638994,930802,64,0.24,169,0.63375,9319,20.96775,0
2026-04-08,15:30:55.638994,930833,60,0.225,174,0.6525,9318,20.9655,0
2026-04-08,15:30:55.638994,930865,63,0.23625,179,0.67125,9317,20.96325,0
2026-04-08,15:30:55.638994,930897,65,0.24375,179,0.67125,9317,20.96325,0
2026-04-08,15:30:55.638994,930928,65,0.24375,178,0.6675,9318,20.9655,0
2026-04-08,15:30:55.638994,930959,68,0.255,172,0.645,9318,20.9655,0
2026-04-08,15:30:55.638994,930991,58,0.2175,179,0.67125,9317,20.96325,0
2026-04-08,15:30:55.638994,931022,68,0.255,177,0.66375,9318,20.9655,0
2026-04-08,15:30:55.638994,931054,59,0.22125,178,0.6675,9317,20.96325,0
2026-04-08,15:30:55.638994,931085,59,0.22125,173,0.64875,9317,20.96325,0
2026-04-08,15:30:55.638994,931195,65,0.24375,170,0.6375,9317,20.96325,0
2026-04-08,15:30:55.638994,931323,61,0.22875,180,0.675,9318,20.9655,0
2026-04-08,15:30:55.638994,931354,69,0.25875,169,0.63375,9318,20.9655,0
2026-04-08,15:30:55.638994,931386,62,0.2325,174,0.6525,9316,20.961,0
2026-04-08,15:30:55.638994,931417,61,0.22875,180,0.675,9318,20.9655,0
2026-04-08,15:30:55.638994,931448,67,0.25125,173,0.64875,9316,20.961,0
2026-04-08,15:30:55.638994,931480,53,0.19875,177,0.66375,9317,20.96325,0
2026-04-08,15:30:55.638994,931512,57,0.21375,172,0.645,9318,20.9655,0
2026-04-08,15:30:55.638994,931543,57,0.21375,176,0.66,9317,20.96325,0
2026-04-08,15:30:55.638994,931574,65,0.24375,180,0.675,9318,20.9655,0
2026-04-08,15:30:55.638994,931606,60,0.225,172,0.645,9316,20.961,0
2026-04-08,15:30:55.638994,931637,73,0.27375,180,0.675,9317,20.96325,0
2026-04-08,15:30:55.638994,931669,69,0.25875,175,0.65625,9316,20.961,0
2026-04-08,15:30:55.638994,931700,71,0.26625,177,0.66375,9318,20.9655,0
2026-04-08,15:30:55.638994,931731,69,0.25875,178,0.6675,9316,20.961,0
2026-04-08,15:30:55.638994,931762,62,0.2325,175,0.65625,9317,20.96325,0
2026-04-08,15:30:55.638994,931794,65,0.24375,164,0.615,9317,20.96325,0
2026-04-08,15:30:55.638994,931826,63,0.23625,177,0.66375,9317,20.96325,0
2026-04-08,15:30:55.638994,931857,64,0.24,168,0.63,9318,20.9655,0
2026-04-08,15:30:55.638994,931889,69,0.25875,169,0.63375,9318,20.9655,0
2026-04-08,15:30:56.648255,932046,66,0.2475,168,0.63,9318,20.9655,0
2026-04-08,15:30:56.648255,932173,72,0.27,174,0.6525,9318,20.9655,0
2026-04-08,15:30:56.648255,932206,62,0.2325,168,0.63,9318,20.9655,0
2026-04-08,15:30:56.648255,932238,62,0.2325,177,0.66375,9317,20.96325,0
2026-04-08,15:30:56.648255,932269,65,0.24375,171,0.64125,9317,20.96325,0
2026-04-08,15:30:56.648255,932301,64,0.24,173,0.64875,9318,20.9655,0
2026-04-08,15:30:56.648255,932332,64,0.24,173,0.64875,9317,20.96325,0
2026-04-08,15:30:56.648255,932363,60,0.225,166,0.6225,9316,20.961,0
2026-04-08,15:30:56.648255,932395,64,0.24,172,0.645,9318,20.9655,0
2026-04-08,15:30:56.648255,932426,60,0.225,170,0.6375,9318,20.9655,0
2026-04-08,15:30:56.648255,932458,64,0.24,176,0.66,9318,20.9655,0
