counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1,506920,43367,22151,32760,32764,32765,32767,54109,0
2,943,43385,22172,32760,32762,32764,32766,54107,0
3,938,43352,22129,32759,32762,32765,32767,54107,0
4,939,43375,22104,32759,32763,32764,32766,54106,0
5,938,43385,22141,32760,32762,32764,32766,54107,0
6,942,43340,22137,32760,32762,32765,32766,54106,0
7,939,43392,22134,32759,32762,32765,32767,54108,0
8,938,43367,22119,32760,32763,32764,32767,54106,0
9,938,43339,22140,32760,32763,32765,32766,54107,0
10,938,43364,22160,32760,32762,32764,32766,54107,0
11,943,43338,22138,32760,32763,32765,32766,54107,0
12,938,43361,22108,32760,32763,32764,32766,54108,0
13,939,43374,22124,32759,32762,32765,32767,54108,0
14,938,43317,22155,32760,32763,32764,32768,54107,0
15,949,43372,22137,32759,32762,32765,32766,54106,1
16,942,43378,22131,32760,32763,32764,32766,54107,0
17,939,43329,22112,32759,32762,32765,32766,54108,0
18,938,43362,22133,32760,32763,32765,32766,54107,0
19,938,43366,22153,32760,32763,32764,32766,54106,0
20,938,43323,22137,32760,32762,32764,32766,54107,0
21,943,43391,22115,32760,32763,32765,32767,54107,0
22,938,43353,22156,32760,32763,32764,32767,54106,1
23,938,43361,22155,32759,32762,32765,32765,54109,0
24,939,43366,22157,32760,32762,32764,32767,54108,0
25,938,43329,22114,32761,32763,32765,32768,54108,1
26,942,43358,22144,32761,32763,32764,32766,54106,1
27,939,43365,22150,32760,32762,32765,32767,54108,0
28,938,43340,22140,32760,32763,32764,32767,54107,0
29,938,43386,22122,32760,32763,32763,32766,54107,1
30,938,43355,22160,32760,32762,32765,32767,54107,0
31,943,43346,22141,32760,32763,32765,32766,54106,0
32,943,43380,22155,32760,32762,32765,32767,54107,0
33,938,43345,22136,32759,32763,32765,32766,54107,0
34,939,43360,22107,32760,32763,32764,32766,54108,0
35,938,43372,22141,32760,32763,32764,32768,54106,0
36,942,43319,22136,32760,32763,32765,32767,54107,1
37,939,43355,22141,32760,32763,32764,32766,54106,1
38,938,43350,22128,32760,32763,32764,32767,54106,0
39,938,43328,22142,32760,32763,32765,32766,54107,0
40,938,43366,22148,32759,32763,32765,32767,54107,0
41,943,43352,22148,32761,32763,32764,32767,54107,0
42,938,43352,22111,32760,32763,32765,32767,54109,0
43,938,43364,22166,32759,32762,32764,32767,54107,0
44,939,43306,22152,32761,32763,32764,32766,54107,0
45,938,43375,22139,32760,32763,32765,32766,54108,0
46,942,43363,22134,32759,32763,32765,32766,54109,0
47,939,43322,22146,32760,32763,32765,32767,54109,0
48,948,43370,22148,32760,32763,32764,32767,54108,0
49,938,43358,22147,32759,32763,32764,32766,54106,0
50,938,43326,22125,32759,32764,32765,32767,54108,0
51,942,43375,22120,32761,32762,32764,32766,54107,0
52,938,43357,22164,32760,32763,32764,32767,54107,0
53,939,43342,22151,32760,32762,32764,32766,54108,0
54,938,43389,22126,32759,32763,32764,32767,54107,1
55,938,43327,22120,32760,32762,32765,32767,54108,0
56,943,43376,22151,32760,32763,32765,32768,54106,0
57,938,43364,22157,32759,32762,32764,32766,54107,0
58,938,43322,22142,32760,32761,32764,32766,54107,0
