Date,Time,time_passed_since_start,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
2026-04-15,14:38:11.762666,0,-9,-0.03375,-87,-0.32625,10011,22.52475,0
2026-04-15,14:38:11.762666,63,-12,-0.045,-87,-0.32625,10012,22.527,0
2026-04-15,14:38:11.762666,94,-12,-0.045,-91,-0.34125,10011,22.52475,0
2026-04-15,14:38:11.762666,126,-12,-0.045,-88,-0.33,10012,22.527,0
2026-04-15,14:38:11.762666,157,-15,-0.05625,-82,-0.3075,10012,22.527,0
2026-04-15,14:38:11.762666,189,-17,-0.06375,-84,-0.315,10011,22.52475,0
2026-04-15,14:38:11.762666,220,-7,-0.02625,-85,-0.31875,10013,22.52925,0
2026-04-15,14:38:11.762666,252,-13,-0.04875,-78,-0.2925,10011,22.52475,0
2026-04-15,14:38:11.762666,283,-8,-0.03,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:11.762666,315,-15,-0.05625,-82,-0.3075,10012,22.527,0
2026-04-15,14:38:11.762666,346,-17,-0.06375,-78,-0.2925,10012,22.527,0
2026-04-15,14:38:11.762666,377,-11,-0.04125,-81,-0.30375,10012,22.527,0
2026-04-15,14:38:11.762666,408,-15,-0.05625,-84,-0.315,10012,22.527,0
2026-04-15,14:38:11.762666,440,-4,-0.015,-84,-0.315,10012,22.527,0
2026-04-15,14:38:11.762666,471,-14,-0.0525,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:11.762666,503,-9,-0.03375,-76,-0.285,10013,22.52925,0
2026-04-15,14:38:11.762666,534,-14,-0.0525,-89,-0.33375,10011,22.52475,0
2026-04-15,14:38:11.762666,566,-8,-0.03,-80,-0.3,10012,22.527,0
2026-04-15,14:38:11.762666,597,-7,-0.02625,-84,-0.315,10011,22.52475,0
2026-04-15,14:38:11.762666,629,-12,-0.045,-78,-0.2925,10011,22.52475,0
2026-04-15,14:38:14.801858,953,-16,-0.06,-73,-0.27375,10011,22.52475,0
2026-04-15,14:38:14.801858,1084,-10,-0.0375,-74,-0.2775,10012,22.527,0
2026-04-15,14:38:14.801858,1116,-16,-0.06,-79,-0.29625,10012,22.527,0
2026-04-15,14:38:14.801858,1147,-7,-0.02625,-79,-0.29625,10012,22.527,0
2026-04-15,14:38:14.801858,1179,-8,-0.03,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:14.801858,1210,-8,-0.03,-75,-0.28125,10011,22.52475,0
2026-04-15,14:38:14.801858,1242,-12,-0.045,-76,-0.285,10011,22.52475,0
2026-04-15,14:38:14.801858,1273,-8,-0.03,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:14.801858,1304,0,0,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:14.801858,1336,-6,-0.0225,-77,-0.28875,10012,22.527,0
2026-04-15,14:38:14.801858,1367,-2,-0.0075,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:14.801858,1399,-4,-0.015,-80,-0.3,10012,22.527,0
2026-04-15,14:38:14.801858,1430,-11,-0.04125,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:14.801858,1462,-11,-0.04125,-82,-0.3075,10012,22.527,0
2026-04-15,14:38:14.801858,1493,-14,-0.0525,-79,-0.29625,10012,22.527,0
2026-04-15,14:38:14.801858,1524,-9,-0.03375,-73,-0.27375,10011,22.52475,0
2026-04-15,14:38:14.801858,1556,-7,-0.02625,-78,-0.2925,10012,22.527,0
2026-04-15,14:38:14.801858,1587,-16,-0.06,-80,-0.3,10012,22.527,0
2026-04-15,14:38:14.801858,1618,-4,-0.015,-84,-0.315,10012,22.527,0
2026-04-15,14:38:14.801858,1650,-1,-0.00375,-84,-0.315,10012,22.527,0
2026-04-15,14:38:14.801858,3037,-15,-0.05625,-81,-0.30375,10012,22.527,0
2026-04-15,14:38:14.801858,3168,-9,-0.03375,-78,-0.2925,10012,22.527,0
2026-04-15,14:38:14.801858,3200,-14,-0.0525,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:14.801858,3231,-8,-0.03,-82,-0.3075,10012,22.527,0
2026-04-15,14:38:14.801858,3263,-12,-0.045,-75,-0.28125,10011,22.52475,0
2026-04-15,14:38:14.801858,3294,-5,-0.01875,-76,-0.285,10011,22.52475,0
2026-04-15,14:38:14.801858,3326,-13,-0.04875,-74,-0.2775,10012,22.527,0
2026-04-15,14:38:14.801858,3357,-12,-0.045,-75,-0.28125,10011,22.52475,0
2026-04-15,14:38:14.801858,3389,-10,-0.0375,-86,-0.3225,10012,22.527,0
2026-04-15,14:38:14.801858,3420,-9,-0.03375,-89,-0.33375,10011,22.52475,0
2026-04-15,14:38:14.801858,3451,-13,-0.04875,-86,-0.3225,10012,22.527,0
2026-04-15,14:38:14.801858,3482,-11,-0.04125,-88,-0.33,10011,22.52475,0
2026-04-15,14:38:14.801858,3514,-5,-0.01875,-87,-0.32625,10012,22.527,0
2026-04-15,14:38:14.801858,3546,-5,-0.01875,-80,-0.3,10012,22.527,0
2026-04-15,14:38:14.801858,3577,-17,-0.06375,-87,-0.32625,10012,22.527,0
2026-04-15,14:38:14.801858,3609,-19,-0.07125,-83,-0.31125,10012,22.527,0
2026-04-15,14:38:14.801858,3640,-14,-0.0525,-83,-0.31125,10012,22.527,0
2026-04-15,14:38:14.801858,3671,-16,-0.06,-85,-0.31875,10011,22.52475,0
2026-04-15,14:38:14.801858,3703,-13,-0.04875,-87,-0.32625,10011,22.52475,0
2026-04-15,14:38:14.801858,3734,-8,-0.03,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:15.765445,4064,-4,-0.015,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:15.765445,4194,-15,-0.05625,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:15.765445,4226,-12,-0.045,-85,-0.31875,10012,22.527,0
2026-04-15,14:38:15.765445,4258,-11,-0.04125,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:15.765445,4289,-6,-0.0225,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:15.765445,4320,-8,-0.03,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:15.765445,4352,-15,-0.05625,-81,-0.30375,10012,22.527,0
2026-04-15,14:38:15.765445,4383,-7,-0.02625,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:15.765445,4415,-8,-0.03,-85,-0.31875,10011,22.52475,0
2026-04-15,14:38:15.765445,4446,-7,-0.02625,-84,-0.315,10012,22.527,0
2026-04-15,14:38:15.765445,4477,-11,-0.04125,-78,-0.2925,10012,22.527,0
2026-04-15,14:38:15.765445,4509,-12,-0.045,-89,-0.33375,10012,22.527,0
2026-04-15,14:38:15.765445,4540,-5,-0.01875,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:15.765445,4572,-11,-0.04125,-86,-0.3225,10011,22.52475,0
2026-04-15,14:38:15.765445,4603,-2,-0.0075,-80,-0.3,10012,22.527,0
2026-04-15,14:38:15.765445,4634,-11,-0.04125,-84,-0.315,10011,22.52475,0
2026-04-15,14:38:15.765445,4666,-6,-0.0225,-80,-0.3,10012,22.527,0
2026-04-15,14:38:15.765445,4697,-6,-0.0225,-90,-0.3375,10011,22.52475,0
2026-04-15,14:38:15.765445,4729,-13,-0.04875,-81,-0.30375,10012,22.527,0
2026-04-15,14:38:15.765445,4760,-10,-0.0375,-83,-0.31125,10011,22.52475,0
2026-04-15,14:38:16.760441,4972,-9,-0.03375,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:16.760441,5102,-16,-0.06,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:16.760441,5134,-12,-0.045,-92,-0.345,10011,22.52475,0
2026-04-15,14:38:16.760441,5165,-12,-0.045,-87,-0.32625,10011,22.52475,0
2026-04-15,14:38:16.760441,5196,-15,-0.05625,-90,-0.3375,10011,22.52475,0
2026-04-15,14:38:16.760441,5227,-14,-0.0525,-90,-0.3375,10011,22.52475,0
2026-04-15,14:38:16.760441,5259,-15,-0.05625,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:16.760441,5291,-12,-0.045,-80,-0.3,10012,22.527,0
2026-04-15,14:38:16.760441,5322,-16,-0.06,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:16.760441,5353,-11,-0.04125,-75,-0.28125,10011,22.52475,0
2026-04-15,14:38:16.760441,5385,-13,-0.04875,-83,-0.31125,10011,22.52475,0
2026-04-15,14:38:16.760441,5416,-16,-0.06,-80,-0.3,10010,22.5225,0
2026-04-15,14:38:16.760441,5448,-14,-0.0525,-85,-0.31875,10011,22.52475,0
2026-04-15,14:38:16.760441,5479,-17,-0.06375,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:16.760441,5510,-12,-0.045,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:16.760441,5542,-6,-0.0225,-87,-0.32625,10011,22.52475,0
2026-04-15,14:38:16.760441,5573,-6,-0.0225,-89,-0.33375,10011,22.52475,0
2026-04-15,14:38:16.760441,5605,-10,-0.0375,-86,-0.3225,10012,22.527,0
2026-04-15,14:38:16.760441,5636,-8,-0.03,-88,-0.33,10011,22.52475,0
2026-04-15,14:38:16.760441,5667,-14,-0.0525,-89,-0.33375,10011,22.52475,0
2026-04-15,14:38:17.597452,5910,-7,-0.02625,-83,-0.31125,10011,22.52475,0
2026-04-15,14:38:17.597452,6040,-16,-0.06,-80,-0.3,10010,22.5225,0
2026-04-15,14:38:17.597452,6072,-21,-0.07875,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:17.597452,6104,-5,-0.01875,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:17.597452,6135,-14,-0.0525,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:17.597452,6166,-12,-0.045,-84,-0.315,10012,22.527,0
2026-04-15,14:38:17.597452,6198,-12,-0.045,-84,-0.315,10012,22.527,0
2026-04-15,14:38:17.597452,6229,-19,-0.07125,-74,-0.2775,10012,22.527,0
2026-04-15,14:38:17.597452,6261,-13,-0.04875,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:17.597452,6292,-17,-0.06375,-82,-0.3075,10012,22.527,0
2026-04-15,14:38:17.597452,6323,-8,-0.03,-76,-0.285,10011,22.52475,0
2026-04-15,14:38:17.597452,6354,-13,-0.04875,-81,-0.30375,10012,22.527,0
2026-04-15,14:38:17.597452,6386,-19,-0.07125,-75,-0.28125,10011,22.52475,0
2026-04-15,14:38:17.597452,6417,-9,-0.03375,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:17.597452,6449,-15,-0.05625,-84,-0.315,10012,22.527,0
2026-04-15,14:38:17.597452,6480,-12,-0.045,-83,-0.31125,10013,22.52925,0
2026-04-15,14:38:17.597452,6512,-9,-0.03375,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:17.597452,6543,-13,-0.04875,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:17.597452,6574,-13,-0.04875,-87,-0.32625,10012,22.527,0
2026-04-15,14:38:17.597452,6606,-19,-0.07125,-78,-0.2925,10012,22.527,0
2026-04-15,14:38:18.468485,6742,-7,-0.02625,-85,-0.31875,10010,22.5225,0
2026-04-15,14:38:18.468485,6872,-15,-0.05625,-76,-0.285,10011,22.52475,0
2026-04-15,14:38:18.468485,6904,-6,-0.0225,-85,-0.31875,10011,22.52475,0
2026-04-15,14:38:18.468485,6935,-15,-0.05625,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:18.468485,6967,-20,-0.075,-86,-0.3225,10011,22.52475,0
2026-04-15,14:38:18.468485,6999,-10,-0.0375,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:18.468485,7030,-15,-0.05625,-88,-0.33,10012,22.527,0
2026-04-15,14:38:18.468485,7061,-10,-0.0375,-84,-0.315,10011,22.52475,0
2026-04-15,14:38:18.468485,7093,-13,-0.04875,-85,-0.31875,10012,22.527,0
2026-04-15,14:38:18.468485,7124,-8,-0.03,-85,-0.31875,10011,22.52475,0
2026-04-15,14:38:18.468485,7156,-16,-0.06,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:18.468485,7187,-7,-0.02625,-82,-0.3075,10010,22.5225,0
2026-04-15,14:38:18.468485,7219,-8,-0.03,-78,-0.2925,10012,22.527,0
2026-04-15,14:38:18.468485,7250,-14,-0.0525,-78,-0.2925,10011,22.52475,0
2026-04-15,14:38:18.468485,7282,-4,-0.015,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:18.468485,7313,-13,-0.04875,-80,-0.3,10010,22.5225,0
2026-04-15,14:38:18.468485,7345,-12,-0.045,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:18.468485,7376,-12,-0.045,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:18.468485,7408,-7,-0.02625,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:18.468485,7439,-11,-0.04125,-68,-0.255,10011,22.52475,0
2026-04-15,14:38:19.481227,7710,-2,-0.0075,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:19.481227,7840,-10,-0.0375,-83,-0.31125,10011,22.52475,0
2026-04-15,14:38:19.481227,7872,-29,-0.10875,-76,-0.285,10012,22.527,0
2026-04-15,14:38:19.481227,7904,-9,-0.03375,-80,-0.3,10012,22.527,0
2026-04-15,14:38:19.481227,7935,-7,-0.02625,-78,-0.2925,10012,22.527,0
2026-04-15,14:38:19.481227,7967,-10,-0.0375,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:19.481227,7999,-5,-0.01875,-81,-0.30375,10010,22.5225,0
2026-04-15,14:38:19.481227,8030,-6,-0.0225,-86,-0.3225,10012,22.527,0
2026-04-15,14:38:19.481227,8061,-10,-0.0375,-84,-0.315,10011,22.52475,0
2026-04-15,14:38:19.481227,8092,-11,-0.04125,-83,-0.31125,10012,22.527,0
2026-04-15,14:38:19.481227,8124,-7,-0.02625,-85,-0.31875,10011,22.52475,0
2026-04-15,14:38:19.481227,8155,-3,-0.01125,-81,-0.30375,10011,22.52475,0
2026-04-15,14:38:19.481227,8187,-3,-0.01125,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:19.481227,8218,-7,-0.02625,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:19.481227,8250,-2,-0.0075,-77,-0.28875,10011,22.52475,0
2026-04-15,14:38:19.481227,8281,-1,-0.00375,-78,-0.2925,10011,22.52475,0
2026-04-15,14:38:19.481227,8313,1,0.00375,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:19.481227,8344,-10,-0.0375,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:19.481227,8375,-5,-0.01875,-78,-0.2925,10011,22.52475,0
2026-04-15,14:38:19.481227,8407,-5,-0.01875,-75,-0.28125,10011,22.52475,0
2026-04-15,14:38:20.383536,8668,-14,-0.0525,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:20.383536,8799,-15,-0.05625,-83,-0.31125,10011,22.52475,0
2026-04-15,14:38:20.383536,8831,-9,-0.03375,-85,-0.31875,10011,22.52475,0
2026-04-15,14:38:20.383536,8862,-15,-0.05625,-80,-0.3,10011,22.52475,0
2026-04-15,14:38:20.383536,8894,-30,-0.1125,-79,-0.29625,10010,22.5225,0
2026-04-15,14:38:20.383536,8926,-10,-0.0375,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:20.383536,8958,-3,-0.01125,-86,-0.3225,10010,22.5225,0
2026-04-15,14:38:20.383536,8989,-8,-0.03,-82,-0.3075,10011,22.52475,0
2026-04-15,14:38:20.383536,9021,-2,-0.0075,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:20.383536,9052,-4,-0.015,-74,-0.2775,10013,22.52925,0
2026-04-15,14:38:20.383536,9084,-9,-0.03375,-76,-0.285,10012,22.527,0
2026-04-15,14:38:20.383536,9115,-2,-0.0075,-79,-0.29625,10011,22.52475,0
2026-04-15,14:38:20.383536,9147,2,0.0075,-89,-0.33375,10011,22.52475,0
2026-04-15,14:38:20.383536,9178,-10,-0.0375,-75,-0.28125,10011,22.52475,0
