SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
0.0,0.12420509132175905,-0.007412608964133954,-0.08095618673835805,260.6284318721151,-662.9763688123285,-50.360226120201915,-556.0078196554202,0.6133337214791522,0.42858098040128123
0.001,0.12419637794080912,-0.007406266221307044,-0.0809423861189858,260.6429429053047,-662.6233848655784,-50.35283779212115,-555.934093671734,0.6133143447334131,0.42857577990742807
0.002,0.1241876653221323,-0.007399923977867526,-0.08092858650898527,260.6574536460278,-662.2704085268115,-50.345449967385235,-555.8603725725027,0.613294968955653,0.4285705795701428
0.003,0.1241789534656894,-0.007393582233792398,-0.08091478790831362,260.67196409428396,-661.917439796036,-50.33806264597298,-555.7866563575221,0.6132755941458508,0.4285653793894233
0.004,0.12417024237144114,-0.007387240989058526,-0.0809009903169277,260.68647425007345,-661.5644786732455,-50.330675827863004,-555.7129450265877,0.6132562203039837,0.4285601793652673
0.005,0.12416153203934824,-0.007380900243642803,-0.0808871937347843,260.7009841133963,-661.211525158441,-50.32328951303391,-555.6392385794943,0.61323684743003,0.42855497949767263
0.006,0.12415282246937154,-0.007374559997522248,-0.08087339816184058,260.7154936842524,-660.8585792516224,-50.31590370146448,-555.565537016038,0.6132174755239677,0.428549779786637
0.007,0.1241441136614717,-0.007368220250673664,-0.0808596035980533,260.7300029626416,-660.5056409527924,-50.30851839313327,-555.4918403360139,0.6131981045857748,0.42854458023215836
0.008,0.12413540561560939,-0.007361881003073972,-0.0808458100433794,260.74451194856437,-660.1527102619466,-50.30113358801897,-555.4181485392169,0.6131787346154294,0.42853938083423426
0.009,0.12412669833174558,-0.007355542254700177,-0.08083201749777584,260.75902064202023,-659.7997871790903,-50.293749286100294,-555.3444616254433,0.6131593656129092,0.4285341815928627
0.01,0.12411799180984086,-0.007349204005529152,-0.08081822596119968,260.7735290430094,-659.4468717042191,-50.286365487355894,-555.2707795944883,0.6131399975781924,0.42852898250804144
0.011,0.12410928604985605,-0.007342866255537803,-0.08080443543360762,260.7880371515319,-659.093963837332,-50.2789821917644,-555.1971024461466,0.6131206305112571,0.4285237835797682
0.012,0.12410058105175192,-0.0073365290047030865,-0.08079064591495677,260.80254496758755,-658.7410635784345,-50.27159939930456,-555.123430180215,0.613101264412081,0.42851858480804084
0.013,0.12409187681548914,-0.007330192253001848,-0.08077685740520402,260.8170524911765,-658.3881709275238,-50.26421710995497,-555.0497627964878,0.6130818992806424,0.42851338619285706
0.014,0.12408317334102853,-0.0073238560004110845,-0.08076306990430615,260.83155972229883,-658.0352858845963,-50.25683532369429,-554.9761002947606,0.613062535116919,0.42850818773421473
0.015,0.12407447062833085,-0.007317520246907697,-0.08074928341222036,260.8460666609544,-657.6824084496575,-50.24945404050128,-554.9024426748294,0.6130431719208892,0.4285029894321116
