counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1,48860088,32737,32798,32760,32762,32764,32767,55913,1
2,942,32755,32806,32760,32764,32764,32766,55914,0
3,938,32756,32821,32760,32762,32763,32766,55913,0
4,939,32723,32833,32760,32763,32764,32767,55914,1
5,938,32731,32814,32760,32763,32764,32765,55914,0
6,942,32766,32787,32760,32762,32764,32766,55915,4
7,938,32737,32806,32760,32763,32764,32766,55914,0
8,939,32693,32818,32760,32763,32764,32767,55914,1
9,938,32745,32837,32759,32763,32765,32767,55915,0
10,938,32761,32822,32760,32762,32764,32766,55914,1
11,943,32730,32823,32759,32762,32765,32767,55913,0
12,938,32735,32786,32760,32762,32765,32766,55914,0
13,938,32763,32831,32760,32762,32764,32766,55915,0
14,939,32744,32842,32760,32762,32764,32765,55914,0
15,938,32701,32818,32760,32763,32765,32766,55914,0
16,942,32752,32797,32759,32763,32764,32766,55914,0
17,939,32747,32803,32761,32763,32764,32766,55914,0
18,943,32736,32823,32761,32763,32764,32766,55914,0
19,938,32718,32825,32760,32762,32764,32765,55915,0
20,938,32748,32816,32759,32763,32765,32767,55914,0
21,943,32744,32800,32760,32763,32765,32766,55914,0
22,938,32695,32812,32760,32763,32764,32767,55913,0
23,938,32735,32830,32760,32763,32765,32766,55913,0
24,939,32739,32833,32760,32762,32764,32766,55914,1
25,938,32731,32814,32759,32763,32765,32767,55914,0
26,942,32699,32778,32759,32763,32764,32766,55913,0
27,938,32743,32804,32760,32763,32765,32766,55913,0
28,939,32730,32824,32760,32763,32765,32766,55914,0
29,938,32696,32826,32759,32764,32764,32767,55914,0
30,938,32760,32809,32760,32763,32764,32766,55914,0
31,943,32732,32785,32760,32762,32764,32766,55914,1
32,938,32731,32828,32760,32762,32765,32766,55914,0
33,938,32722,32822,32759,32762,32764,32767,55915,0
34,944,32752,32827,32760,32763,32764,32767,55913,1
35,938,32757,32816,32759,32762,32764,32767,55914,1
36,942,32725,32811,32759,32762,32764,32766,55914,0
37,939,32739,32809,32759,32762,32765,32766,55915,0
38,938,32759,32824,32760,32763,32765,32766,55913,0
39,938,32741,32833,32760,32762,32765,32766,55914,0
40,938,32706,32820,32760,32763,32765,32766,55914,0
41,943,32737,32796,32760,32762,32764,32767,55914,0
42,938,32764,32832,32760,32763,32764,32767,55915,0
43,939,32726,32843,32760,32762,32764,32765,55914,0
44,938,32734,32815,32760,32762,32765,32767,55914,0
45,938,32765,32800,32760,32763,32765,32766,55914,1
46,942,32733,32799,32759,32763,32763,32766,55913,0
47,939,32713,32837,32760,32762,32764,32767,55914,0
48,938,32756,32857,32759,32764,32765,32765,55914,0
49,938,32748,32837,32760,32762,32764,32767,55914,0
50,938,32715,32795,32760,32763,32765,32766,55914,0
51,942,32725,32810,32760,32762,32765,32766,55914,0
52,938,32764,32840,32760,32763,32764,32767,55914,1
53,938,32753,32836,32759,32763,32764,32767,55914,1
54,938,32691,32802,32760,32762,32764,32767,55914,1
55,939,32751,32793,32760,32763,32764,32767,55914,0
56,942,32756,32810,32760,32763,32764,32766,55914,0
57,938,32725,32828,32760,32762,32765,32767,55914,1
58,939,32749,32821,32760,32763,32764,32767,55914,0
59,938,32769,32802,32760,32763,32765,32765,55915,0
60,938,32739,32815,32760,32762,32764,32766,55914,1
61,943,32708,32815,32759,32764,32764,32767,55914,0
62,938,32763,32845,32760,32764,32765,32766,55914,0
63,938,32765,32834,32760,32763,32765,32767,55913,0
64,938,32713,32797,32759,32762,32764,32767,55914,0
65,939,32743,32807,32760,32763,32765,32767,55914,0
66,942,32758,32838,32759,32763,32763,32767,55914,0
67,944,32760,32846,32759,32762,32765,32765,55913,0
68,938,32715,32831,32761,32762,32764,32766,55913,1
69,938,32752,32804,32761,32763,32763,32767,55913,1
70,938,32762,32822,32760,32763,32764,32767,55915,0
71,943,32732,32836,32759,32762,32763,32767,55914,1
72,938,32738,32831,32759,32763,32764,32767,55914,0
