SoC,OCV
0.0,46.69967889504629
0.001,46.699710804290255
0.002,46.69974275827591
0.003,46.69977475699609
0.004,46.699806800443596
0.005,46.69983888861123
0.006,46.69987102149183
0.007,46.699903199078186
0.008,46.69993542136313
0.009,46.69996768833947
0.01,46.7
0.011,46.70003235633756
0.012,46.700064757344954
0.013,46.700097203015
0.014,46.7001296933405
0.015,46.70016222831428
0.016,46.70019480792914
0.017,46.7002274321779
0.018,46.70026010105338
0.019,46.70029281454838
0.02,46.70032557265573
0.021,46.70035837536823
0.022,46.700391222678704
0.023,46.70042411457995
0.024,46.7004570510648
0.025,46.700490032126055
0.026,46.700523057756534
0.027,46.70055612794905
0.028,46.70058924269641
0.029,46.70062240199144
0.03,46.700655605826945
0.031,46.70068885419574
0.032,46.70072214709063
0.033,46.70075548450445
0.034,46.70078886642998
0.035,46.70082229286007
0.036,46.700855763787516
0.037,46.70088927920512
0.038,46.70092283910572
0.039,46.70095644348211
0.04,46.700990092327125
0.041,46.70102378563355
0.042,46.70105752339422
0.043,46.701091305601935
0.044,46.70112513224952
0.045,46.70115900332979
0.046,46.70119291883554
0.047,46.70122687875959
0.048,46.701260883094776
0.049,46.70129493183389
0.05,46.701329024969745
0.051,46.70136316249516
0.052,46.70139734440294
0.053,46.70143157068592
0.054,46.7014658413369
0.055,46.70150015634868
0.056,46.701534515714094
0.057,46.70156891942595
0.058,46.701603367477055
0.059,46.70163785986023
0.06,46.701672396568284
0.061,46.701706977594036
0.062,46.70174160293029
0.063,46.701776272569866
0.064,46.70181098650558
0.065,46.701845744730235
0.066,46.70188054723666
0.067,46.701915394017654
0.068,46.70195028506604
0.069,46.701985220374624
0.07,46.70202019993623
0.071,46.702055223743656
0.072,46.70209029178973
0.073,46.70212540406725
0.074,46.702160560569055
0.075,46.70219576128793
0.076,46.70223100621671
0.077,46.702266295348196
0.078,46.7023016286752
0.079,46.70233700619055
0.08,46.702372427887035
0.081,46.7024078937575
0.082,46.70244340379474
0.083,46.702478957991566
0.084,46.702514556340795
0.085,46.70255019883524
0.086,46.70258588546772
0.087,46.70262161623105
0.088,46.702657391118024
0.089,46.702693210121474
0.09,46.70272907323421
0.091,46.702764980449054
0.092,46.702800931758794
0.093,46.70283692715627
0.094,46.702872966634274
0.095,46.70290905018564
0.096,46.70294517780317
0.097,46.70298134947968
0.098,46.703017565207986
0.099,46.70305382498089
0.1,46.70309012879122
0.101,46.70312647663178
0.102,46.70316286849538
0.103,46.70319930437485
0.104,46.70323578426299
0.105,46.70327230815262
0.106,46.703308876036544
0.107,46.70334548790759
0.108,46.70338214375856
0.109,46.70341884358226
0.11,46.70345558737153
0.111,46.70349237511917
0.112,46.703529206817976
0.113,46.70356608246079
0.114,46.7036030020404
0.115,46.70363996554964
0.116,46.70367697298132
0.117,46.70371402432824
0.118,46.70375111958322
0.119,46.70378825873908
0.12,46.70382544178864
0.121,46.70386266872468
0.122,46.70389993954006
0.123,46.703937254227554
0.124,46.70397461277999
0.125,46.704012015190195
0.126,46.70404946145096
0.127,46.704086951555105
0.128,46.70412448549546
0.129,46.70416206326482
0.13,46.70419968485599
0.131,46.70423735026182
0.132,46.70427505947509
0.133,46.70431281248862
0.134,46.70435060929524
0.135,46.704388449887745
0.136,46.704426334258955
0.137,46.704464262401686
0.138,46.70450223430874
0.139,46.70454024997294
0.14,46.70457830938711
0.141,46.70461641254404
0.142,46.70465455943656
0.143,46.70469275005749
0.144,46.70473098439962
0.145,46.70476926245578
0.146,46.704807584218784
0.147,46.70484594968143
0.148,46.70488435883655
0.149,46.70492281167696
0.15,46.70496130819544
0.151,46.70499984838484
0.152,46.70503843223797
0.153,46.705077059747616
0.154,46.70511573090662
0.155,46.705154445707784
0.156,46.70519320414392
0.157,46.70523200620784
0.158,46.705270851892365
0.159,46.705309741190305
0.16,46.70534867409447
0.161,46.705387650597686
0.162,46.70542667069275
0.163,46.70546573437249
0.164,46.705504841629704
0.165,46.705543992457216
0.166,46.70558318684784
0.167,46.705622424794385
0.168,46.70566170628966
0.169,46.70570103132649
0.17,46.705740399897685
0.171,46.70577981199605
0.172,46.70581926761441
0.173,46.70585876674558
0.174,46.705898309382356
0.175,46.705937895517565
0.176,46.70597752514403
0.177,46.70601719825453
0.178,46.70605691484191
0.179,46.70609667489899
0.18,46.70613647841855
0.181,46.70617632539342
0.182,46.70621621581643
0.183,46.70625614968037
0.184,46.70629612697805
0.185,46.70633614770232
0.186,46.70637621184595
0.187,46.706416319401775
0.188,46.70645647036261
0.189,46.70649666472126
0.19,46.706536902470546
0.191,46.70657718360328
0.192,46.70661750811227
0.193,46.70665787599033
0.194,46.70669828723028
0.195,46.706738741824935
0.196,46.706779239767094
0.197,46.70681978104959
0.198,46.70686036566522
