Date,Time,time_passed_since_start,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
2026-03-18,16:00:33.386365,2681199,-65,-0.24375,-11,-0.04125,25542,57.4695,181
2026-03-18,16:00:33.386365,2681231,-57,-0.21375,-13,-0.04875,25542,57.4695,0
2026-03-18,16:00:33.386365,2681263,-54,-0.2025,-13,-0.04875,25540,57.465,0
2026-03-18,16:00:33.386365,2681294,-67,-0.25125,-14,-0.0525,25541,57.46725,0
2026-03-18,16:00:33.386365,2681325,-58,-0.2175,-8,-0.03,25541,57.46725,0
2026-03-18,16:00:33.386365,2681356,-63,-0.23625,-6,-0.0225,25541,57.46725,0
2026-03-18,16:00:33.386365,2681388,-64,-0.24,-13,-0.04875,25541,57.46725,0
2026-03-18,16:00:33.386365,2681419,-67,-0.25125,-13,-0.04875,25541,57.46725,0
2026-03-18,16:00:33.386365,2681450,-56,-0.21,-16,-0.06,25541,57.46725,0
2026-03-18,16:00:33.386365,2681482,-57,-0.21375,-11,-0.04125,25541,57.46725,0
2026-03-18,16:00:33.386365,2681513,-55,-0.20625,-14,-0.0525,25541,57.46725,0
2026-03-18,16:00:33.386365,2681544,-56,-0.21,-9,-0.03375,25541,57.46725,0
2026-03-18,16:00:33.386365,2681576,-54,-0.2025,-16,-0.06,25541,57.46725,0
2026-03-18,16:00:33.386365,2681607,-54,-0.2025,-3,-0.01125,25542,57.4695,0
2026-03-18,16:00:33.386365,2681639,-60,-0.225,-9,-0.03375,25543,57.47175,0
2026-03-18,16:00:33.386365,2681670,-57,-0.21375,-14,-0.0525,25542,57.4695,0
2026-03-18,16:00:33.386365,2681702,-55,-0.20625,-9,-0.03375,25541,57.46725,0
2026-03-18,16:00:33.386365,2681733,-57,-0.21375,-16,-0.06,25541,57.46725,0
2026-03-18,16:00:33.386365,2681764,-59,-0.22125,-21,-0.07875,25542,57.4695,0
2026-03-18,16:00:33.386365,2681796,-55,-0.20625,-10,-0.0375,25542,57.4695,0
2026-03-18,16:00:34.535469,2682404,-67,-0.25125,-4,-0.015,25542,57.4695,0
2026-03-18,16:00:34.535469,2682534,-61,-0.22875,-13,-0.04875,25542,57.4695,0
2026-03-18,16:00:34.535469,2682566,-59,-0.22125,-9,-0.03375,25542,57.4695,0
2026-03-18,16:00:34.535469,2682598,-56,-0.21,-9,-0.03375,25542,57.4695,0
2026-03-18,16:00:34.535469,2682630,-64,-0.24,-15,-0.05625,25542,57.4695,0
