SoC,OCV
0.0,39.83643308839722
0.001,39.83643308839722
0.002,40.46315355078367
0.003,40.82977159667083
0.004,41.0898982934534
0.005,41.291673682784435
0.006,41.45654062294789
0.007,41.59593738756667
0.008,41.71669160666182
0.009,41.82320724158976
0.01,41.91849128624826
0.011,42.00468850699651
0.012,42.08338251999116
0.013,42.15577594079936
0.014,42.22280358151342
0.015,42.28520649980512
0.016,42.343582100836095
0.017,42.39841902339375
0.018,42.4501220393156
0.019,42.499030211836015
0.02,42.54543039084972
0.021,42.58956741214553
0.022,42.631651921797605
0.023,42.67186645985622
0.024,42.710370248315925
0.025,42.747303001035085
0.026,42.782787985971865
0.027,42.81693450918322
0.028,42.84983994685768
0.029,42.881591420609396
0.03,42.91226718864518
0.031,42.94193780873732
0.032,42.97066711649601
0.033,42.998513053061
0.034,43.025528369197545
0.035,43.05176122730294
0.036,43.077255718587324
0.037,43.102052309378976
0.038,43.12618822789969
0.039,43.149697800791316
0.04,43.17261274702939
0.041,43.194962435539395
0.042,43.216774111765254
0.043,43.238073097574826
0.044,43.25888296818141
0.045,43.27922570918095
0.046,43.29912185632814
0.047,43.31859062027908
0.048,43.337649998200014
0.049,43.356316873867534
0.05,43.37460710765538
0.051,43.39253561760987
0.052,43.410116452652396
0.053,43.42736285880879
0.054,43.444287339248035
0.055,43.46090170881188
0.056,43.47721714363082
0.057,43.493244226348864
0.058,43.50899298741489
0.059,43.524472942844305
0.06,43.53969312880709
0.061,43.554662133356786
0.062,43.56938812557966
0.063,43.58387888241153
0.064,43.59814181334283
0.065,43.61218398320818
0.066,43.626012133236344
0.067,43.639632700516955
0.068,43.65305183602544
0.069,43.666275421331804
0.07,43.67930908410744
0.071,43.69215821253197
0.072,43.704827968692456
0.073,43.71732330105854
0.074,43.72964895610879
0.075,43.74180948917666
0.076,43.753809274578224
0.077,43.76565251507773
0.078,43.777343250742604
0.079,43.78888536723425
0.08,43.80028260357747
0.081,43.811538559447236
0.082,43.822656702008324
0.083,43.83364037234054
0.084,43.844492791479055
0.085,43.85521706609729
0.086,43.86581619385755
0.087,43.87629306845225
0.088,43.88665048435708
0.089,43.89689114131568
0.09,43.90701764857362
0.091,43.91703252887858
0.092,43.92693822226185
0.093,43.936737089615434
0.094,43.94643141607786
0.095,43.95602341424082
0.096,43.96551522718791
0.097,43.97490893137598
0.098,43.98420653936858
0.099,43.99341000243081
0.1,44.00252121299362
0.101,44.0115420069956
0.102,44.02047416610935
0.103,44.02931941985931
0.104,44.038079447637145
0.105,44.04675588062087
0.106,44.05535030360284
0.107,44.06386425673209
0.108,44.07229923717546
0.109,44.08065670070227
0.11,44.088938063196665
0.111,44.09714470210143
0.112,44.10527795779704
0.113,44.11333913491963
0.114,44.12132950362057
0.115,44.12925030077135
0.116,44.13710273111611
0.117,44.14488796837472
0.118,44.15260715629906
0.119,44.16026140968456
0.12,44.16785181533943
0.121,44.17537943301387
0.122,44.182845296290765
0.123,44.19025041344018
0.124,44.19759576823931
0.125,44.204882320759275
0.126,44.21211100812088
0.127,44.21928274522021
0.128,44.22639842542592
0.129,44.23345892124943
0.13,44.24046508498907
0.131,44.247417749349786
0.132,44.254317728039055
0.133,44.26116581634041
0.134,44.267962791665546
0.135,44.274709414085756
0.136,44.281406426843915
0.137,44.28805455684759
0.138,44.29465451514423
0.139,44.30120699737928
0.14,44.30771268423785
0.141,44.31417224187053
0.142,44.3205863223044
0.143,44.32695556383938
0.144,44.33328059143095
0.145,44.33956201705952
0.146,44.34580044008713
0.147,44.35199644760204
0.148,44.358150614751516
0.149,44.36426350506352
0.15,44.370335670757584
0.151,44.37636765304538
0.152,44.382359982421356
0.153,44.38831317894388
0.154,44.39422775250712
0.155,44.4001042031043
0.156,44.405943021082294
0.157,44.41174468738824
0.158,44.417509673808276
0.159,44.423238443198684
0.16,44.42893144970987
0.161,44.434589139003386
0.162,44.44021194846205
0.163,44.44580030739389
0.164,44.451354637229606
0.165,44.45687535171409
0.166,44.462362857092316
0.167,44.467817552289375
0.168,44.47323982908536
0.169,44.478630072284986
0.17,44.483988659882165
0.171,44.48931596321983
