Voltage,Resistance,Current,Reading 1,Reading 2
26.7,47,0.568085106,132,188
26.7,41.3,0.646489104,138,219
26.7,31.3,0.853035144,199,270
26.7,22.5,1.186666667,291,385
26.7,18.8,1.420212766,360,411
26.6,14.7,1.80952381,452,516
26.6,9.1,2.923076923,733,790
26.5,4.8,5.520833333,1386,1442
26.3,2.3,11.43478261,2359,2431
26.3,2.3,11.43478261,2326,2390
26.5,7.1,3.732394366,972,1024
25.2,1.1,22.90909091,6062,6067
24.8,1,24.8,6846,6999
25.1,1,25.1,7610,7777
25.3,1.3,19.46153846,6160,6305
24.8,1.1,22.54545455,8584,8761
24.5,0.8,30.625,10995,11197
24.3,0.8,30.375,11514,11735
24.5,0.8,30.625,11397,11609
25.1,1,25.1,7392,7548
25.3,1,25.3,6535,6696
25.4,1.1,23.09090909,6039,6188
