counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1,2852186,32743,32791,32760,32763,32765,32768,55851,0
2,943,32755,32812,32760,32763,32764,32766,55851,0
3,949,32713,32798,32759,32762,32765,32767,55850,0
4,938,32763,32785,32760,32762,32764,32766,55850,0
5,938,32728,32797,32760,32761,32764,32768,55851,0
6,942,32766,32801,32760,32762,32766,32767,55851,0
7,939,32731,32806,32761,32762,32765,32766,55852,0
8,938,32754,32772,32761,32763,32765,32766,55851,0
9,938,32745,32811,32761,32763,32764,32766,55851,0
10,939,32762,32802,32760,32763,32764,32766,55850,0
11,942,32745,32805,32760,32762,32765,32766,55854,0
12,939,32737,32766,32761,32762,32765,32766,55851,0
13,938,32764,32789,32760,32763,32765,32767,55851,0
14,938,32747,32807,32761,32763,32764,32765,55850,0
15,938,32762,32777,32760,32762,32764,32766,55851,0
16,943,32718,32768,32761,32762,32765,32766,55851,0
17,938,32768,32817,32762,32762,32764,32767,55851,0
18,938,32718,32805,32761,32762,32764,32767,55852,0
19,939,32757,32794,32760,32763,32765,32766,55851,0
20,943,32700,32791,32759,32762,32765,32767,55850,0
21,942,32759,32812,32760,32762,32764,32765,55851,0
22,938,32725,32822,32761,32763,32765,32766,55851,0
23,939,32754,32769,32759,32763,32765,32768,55852,0
24,938,32713,32803,32760,32762,32765,32766,55851,0
25,938,32760,32808,32760,32762,32765,32766,55852,0
26,943,32719,32802,32760,32763,32765,32767,55850,0
27,938,32749,32767,32760,32762,32765,32767,55850,0
28,938,32743,32795,32761,32763,32766,32765,55849,0
29,938,32767,32827,32760,32761,32765,32766,55851,0
30,939,32737,32786,32761,32762,32764,32766,55851,0
31,942,32744,32786,32760,32763,32764,32766,55850,0
32,938,32758,32824,32761,32762,32764,32767,55852,1
33,939,32739,32811,32760,32762,32765,32766,55852,0
34,938,32749,32775,32760,32763,32765,32767,55850,0
35,938,32734,32810,32759,32762,32764,32767,55851,0
36,948,32755,32817,32760,32762,32765,32766,55850,0
37,943,32714,32808,32760,32763,32765,32767,55851,0
38,938,32759,32775,32761,32763,32765,32767,55851,0
39,938,32709,32798,32760,32762,32765,32766,55851,0
40,939,32755,32810,32760,32763,32765,32766,55851,0
41,942,32725,32805,32761,32762,32765,32766,55851,0
42,939,32748,32780,32761,32762,32764,32767,55850,0
43,938,32730,32817,32760,32762,32765,32765,55851,0
44,938,32746,32808,32760,32763,32764,32767,55851,0
45,938,32720,32808,32760,32763,32765,32766,55850,0
46,943,32731,32773,32761,32763,32765,32767,55850,0
47,938,32740,32812,32760,32763,32764,32766,55850,0
48,938,32747,32816,32760,32762,32764,32767,55849,0
49,939,32741,32778,32760,32762,32764,32766,55851,0
50,938,32743,32791,32760,32763,32765,32766,55851,0
51,942,32762,32816,32760,32763,32765,32768,55852,0
52,938,32725,32806,32760,32763,32765,32767,55851,0
53,938,32742,32779,32759,32762,32764,32766,55851,0
54,938,32716,32802,32761,32762,32765,32766,55851,0
55,938,32767,32814,32761,32762,32764,32766,55852,0
56,943,32723,32781,32761,32762,32765,32766,55851,0
57,938,32762,32794,32761,32762,32764,32766,55852,0
58,938,32717,32826,32760,32762,32764,32766,55851,0
59,938,32769,32814,32761,32763,32763,32767,55846,1
60,939,32710,32769,32761,32763,32766,32766,55849,0
61,942,32763,32797,32761,32763,32765,32766,55850,0
62,938,32723,32807,32759,32762,32765,32767,55850,1
63,938,32774,32806,32760,32763,32764,32765,55850,0
64,939,32731,32771,32760,32762,32765,32766,55850,0
65,938,32759,32813,32760,32763,32765,32767,55849,0
66,942,32758,32834,32760,32762,32765,32767,55850,0
67,939,32762,32807,32759,32762,32766,32766,55851,0
68,938,32765,32785,32760,32762,32765,32766,55852,1
69,943,32758,32815,32761,32763,32765,32767,55850,0
70,938,32755,32814,32760,32762,32765,32766,55851,0
71,942,32724,32799,32760,32763,32765,32767,55851,0
72,938,32750,32793,32760,32763,32765,32766,55851,0
73,939,32739,32840,32760,32762,32765,32766,55850,1
74,938,32769,32827,32760,32762,32764,32766,55851,0
75,938,32707,32789,32761,32762,32764,32766,55851,0
76,943,32756,32806,32760,32763,32765,32766,55849,0
77,938,32706,32804,32761,32763,32765,32766,55850,0
78,938,32785,32829,32760,32762,32765,32766,55851,0
79,938,32712,32776,32761,32763,32764,32767,55850,1
80,939,32767,32818,32761,32762,32765,32767,55850,0
81,942,32720,32817,32760,32762,32764,32765,55851,4
82,938,32762,32813,32759,32763,32764,32766,55851,0
83,938,32712,32788,32760,32763,32765,32767,55851,0
84,939,32762,32827,32761,32763,32764,32765,55850,0
85,938,32722,32817,32760,32762,32765,32767,55851,1
86,942,32751,32787,32760,32762,32765,32767,55851,0
87,938,32737,32804,32760,32763,32765,32766,55851,1
88,938,32764,32822,32760,32761,32765,32766,55851,1
89,939,32751,32832,32759,32763,32765,32766,55850,0
90,938,32754,32791,32760,32763,32765,32766,55851,1
91,942,32756,32821,32761,32763,32764,32766,55850,1
92,939,32745,32815,32760,32762,32763,32766,55852,0
93,938,32762,32807,32760,32762,32764,32767,55851,0
94,938,32741,32793,32760,32763,32764,32767,55850,1
95,938,32763,32826,32760,32762,32765,32766,55851,0
96,943,32729,32812,32761,32762,32765,32767,55851,0
97,938,32761,32800,32760,32762,32765,32767,55851,1
98,938,32716,32792,32760,32763,32765,32767,55850,0
99,939,32763,32824,32761,32763,32765,32766,55852,1
100,938,32714,32812,32760,32762,32765,32766,55850,0
101,942,32775,32783,32760,32762,32763,32766,55851,0
102,944,32713,32807,32760,32762,32765,32766,55851,0
103,938,32784,32822,32760,32763,32766,32767,55850,5
104,938,32734,32814,32760,32763,32764,32767,55851,0
105,938,32752,32783,32760,32763,32765,32767,55851,0
106,942,32742,32814,32760,32763,32764,32767,55850,0
107,938,32772,32813,32760,32763,32765,32766,55851,0
108,939,32745,32814,32761,32762,32764,32766,55850,0
109,938,32754,32790,32761,32763,32765,32766,55852,0
110,938,32739,32831,32760,32762,32765,32767,55850,1
111,943,32758,32811,32760,32762,32765,32767,55850,0
112,938,32774,32803,32761,32762,32765,32767,55850,0
113,938,32757,32798,32760,32762,32764,32767,55850,0
114,939,32760,32800,32760,32763,32765,32766,55851,0
115,938,32757,32792,32760,32762,32765,32767,55852,1
116,942,32777,32770,32761,32762,32765,32764,55851,0
117,938,32733,32800,32761,32763,32764,32767,55851,0
118,944,32749,32811,32760,32762,32764,32767,55852,0
119,938,32705,32801,32760,32762,32766,32767,55851,1
120,938,32758,32782,32761,32762,32763,32767,55851,0
121,943,32728,32806,32759,32762,32765,32766,55851,0
122,938,32785,32815,32760,32762,32765,32767,55851,0
123,938,32725,32793,32760,32762,32765,32766,55851,0
124,939,32762,32781,32759,32762,32765,32767,55851,1
125,938,32741,32809,32760,32762,32765,32767,55850,1
126,942,32782,32808,32759,32763,32764,32766,55851,0
127,939,32761,32781,32761,32763,32764,32767,55851,0
128,938,32772,32807,32760,32762,32765,32766,55851,0
129,938,32773,32825,32760,32762,32765,32767,55851,1
130,938,32773,32802,32761,32763,32765,32767,55852,1
131,942,32760,32784,32760,32761,32764,32765,55850,0
132,939,32758,32811,32761,32762,32765,32767,55851,1
133,938,32765,32828,32759,32763,32764,32766,55851,0
134,938,32757,32793,32760,32763,32764,32766,55851,1
135,944,32766,32786,32761,32762,32764,32766,55852,0
136,942,32722,32826,32761,32763,32765,32765,55851,0
137,938,32779,32825,32760,32762,32765,32765,55851,0
138,938,32716,32799,32760,32762,32764,32766,55850,0
139,939,32778,32784,32760,32763,32764,32767,55852,1
140,938,32721,32819,32761,32763,32764,32767,55850,0
141,942,32784,32806,32760,32764,32764,32766,55850,0
142,938,32731,32788,32760,32763,32764,32767,55851,0
143,939,32764,32799,32760,32762,32765,32767,55850,0
144,938,32738,32814,32760,32762,32765,32766,55851,0
145,938,32776,32803,32761,32763,32765,32766,55851,0
146,943,32742,32785,32759,32762,32765,32767,55850,0
147,938,32768,32805,32761,32763,32764,32767,55850,0
148,938,32749,32819,32760,32763,32763,32766,55850,0
149,938,32758,32796,32761,32763,32764,32766,55850,1
150,939,32761,32811,32760,32763,32765,32766,55851,0
151,948,32735,32815,32760,32763,32765,32766,55850,0
152,943,32767,32822,32760,32762,32764,32767,55850,0
153,938,32715,32783,32759,32762,32765,32767,55850,1
154,939,32751,32791,32759,32762,32764,32766,55851,1
155,938,32714,32819,32760,32763,32764,32766,55851,0
156,942,32751,32827,32760,32762,32763,32766,55850,0
157,939,32699,32789,32760,32762,32765,32767,55850,0
158,938,32762,32790,32761,32762,32764,32766,55851,0
159,938,32719,32809,32760,32762,32765,32765,55852,0
160,938,32774,32821,32761,32762,32764,32767,55850,0
161,942,32726,32794,32761,32762,32764,32765,55851,0
162,938,32753,32803,32761,32763,32764,32766,55850,0
163,939,32735,32819,32760,32762,32765,32767,55851,0
164,938,32761,32786,32760,32762,32766,32767,55850,1
165,938,32719,32788,32760,32762,32764,32767,55851,0
166,942,32746,32811,32760,32762,32765,32767,55852,0
167,939,32741,32822,32761,32761,32765,32766,55851,0
168,948,32736,32785,32760,32763,32764,32766,55850,0
169,943,32763,32780,32761,32762,32765,32766,55851,0
170,938,32714,32806,32760,32764,32765,32767,55851,0
171,943,32767,32812,32761,32762,32764,32766,55851,0
172,938,32724,32810,32761,32762,32765,32767,55851,0
173,938,32755,32782,32761,32763,32765,32766,55849,0
174,938,32722,32809,32760,32763,32765,32767,55852,1
175,939,32759,32823,32760,32763,32764,32766,55851,1
176,942,32732,32788,32760,32764,32765,32767,55850,2
177,938,32755,32767,32760,32762,32764,32767,55852,0
178,939,32734,32815,32760,32763,32764,32767,55852,1
179,938,32756,32820,32761,32764,32765,32766,55851,0
