Date,Time,time_passed_since_start,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
2026-04-08,15:17:58.624837,154283,-33,-0.12375,13,0.04875,21170,47.6325,261
2026-04-08,15:17:58.624837,154314,-29,-0.10875,23,0.08625,21172,47.637,0
2026-04-08,15:17:58.624837,154346,-35,-0.13125,21,0.07875,21172,47.637,0
2026-04-08,15:17:58.624837,154378,-29,-0.10875,6,0.0225,21172,47.637,0
2026-04-08,15:17:58.624837,154409,-31,-0.11625,11,0.04125,21171,47.63475,0
2026-04-08,15:17:58.624837,154440,-28,-0.105,10,0.0375,21173,47.63925,0
2026-04-08,15:17:58.624837,154472,-38,-0.1425,12,0.045,21173,47.63925,0
2026-04-08,15:17:58.624837,154503,-33,-0.12375,6,0.0225,21172,47.637,0
2026-04-08,15:17:58.624837,154535,-31,-0.11625,21,0.07875,21172,47.637,0
2026-04-08,15:17:58.624837,154566,-33,-0.12375,20,0.075,21171,47.63475,0
2026-04-08,15:17:58.624837,154598,-36,-0.135,20,0.075,21172,47.637,0
2026-04-08,15:17:58.624837,154629,-30,-0.1125,12,0.045,21173,47.63925,0
2026-04-08,15:17:58.624837,154661,-32,-0.12,16,0.06,21172,47.637,0
2026-04-08,15:17:58.624837,154692,-35,-0.13125,11,0.04125,21173,47.63925,0
2026-04-08,15:17:58.624837,154723,-29,-0.10875,13,0.04875,21170,47.6325,0
2026-04-08,15:17:58.624837,154755,-28,-0.105,15,0.05625,21171,47.63475,0
2026-04-08,15:17:58.624837,154786,-28,-0.105,11,0.04125,21173,47.63925,0
2026-04-08,15:17:58.624837,154817,-25,-0.09375,16,0.06,21172,47.637,0
2026-04-08,15:17:58.624837,154849,-34,-0.1275,13,0.04875,21171,47.63475,0
2026-04-08,15:17:58.624837,154881,-27,-0.10125,12,0.045,21172,47.637,0
2026-04-08,15:17:59.441220,154983,-17,-0.06375,15,0.05625,21172,47.637,0
2026-04-08,15:17:59.441220,155112,-31,-0.11625,16,0.06,21171,47.63475,0
2026-04-08,15:17:59.441220,155145,-33,-0.12375,19,0.07125,21170,47.6325,0
2026-04-08,15:17:59.441220,155177,-30,-0.1125,15,0.05625,21172,47.637,0
2026-04-08,15:17:59.441220,155208,-33,-0.12375,19,0.07125,21171,47.63475,0
2026-04-08,15:17:59.441220,155240,-32,-0.12,24,0.09,21172,47.637,0
2026-04-08,15:17:59.441220,155272,-31,-0.11625,14,0.0525,21172,47.637,0
2026-04-08,15:17:59.441220,155304,-28,-0.105,15,0.05625,21172,47.637,0
2026-04-08,15:17:59.441220,155335,-37,-0.13875,8,0.03,21173,47.63925,0
2026-04-08,15:17:59.441220,155367,-30,-0.1125,10,0.0375,21171,47.63475,0
2026-04-08,15:17:59.441220,155398,-35,-0.13125,22,0.0825,21173,47.63925,0
2026-04-08,15:17:59.441220,155430,-31,-0.11625,13,0.04875,21173,47.63925,0
2026-04-08,15:17:59.441220,155462,-29,-0.10875,10,0.0375,21172,47.637,0
2026-04-08,15:17:59.441220,155494,-31,-0.11625,11,0.04125,21172,47.637,0
2026-04-08,15:17:59.441220,155525,-29,-0.10875,14,0.0525,21172,47.637,0
