counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
54115,867,32776,32568,33412,32778,32781,32781,55897,288
54116,866,32776,32581,33379,32779,32781,32783,55899,289
54117,865,32776,32582,33342,32779,32781,32782,55898,286
54118,866,32776,32578,33418,32779,32782,32782,55898,289
54119,866,32777,32564,33393,32778,32781,32782,55897,288
54120,866,32775,32577,33363,32779,32781,32782,55898,288
54121,865,32776,32562,33418,32779,32781,32783,55897,287
54122,866,32776,32554,33404,32779,32781,32782,55898,288
54123,866,32776,32570,33371,32779,32780,32782,55896,288
54124,866,32776,32599,33359,32779,32781,32782,55899,287
54125,866,32776,32588,33408,32778,32781,32783,55901,289
54126,865,32776,32576,33380,32778,32780,32782,55897,287
54127,863,32775,32578,33385,32779,32781,32783,55896,289
54128,865,32776,32567,33410,32779,32781,32782,55897,288
54129,866,32775,32560,33368,32779,32781,32783,55897,287
54130,866,32777,32583,33415,32780,32782,32782,55898,288
54131,865,32776,32585,33402,32779,32782,32781,55898,288
54132,866,32776,32584,33368,32779,32781,32782,55898,287
54133,864,32776,32576,33419,32779,32781,32781,55897,287
54134,866,32776,32578,33410,32778,32782,32782,55898,287
54135,866,32778,32559,33371,32779,32781,32782,55898,289
54136,865,32776,32551,33425,32780,32781,32783,55896,287
54137,871,32775,32581,33406,32779,32781,32782,55896,287
54138,866,32776,32574,33353,32778,32781,32782,55898,285
54139,866,32776,32568,33417,32778,32782,32783,55898,290
54140,867,32777,32546,33374,32779,32781,32782,55898,288
54141,866,32775,32577,33426,32779,32780,32784,55898,286
54142,866,32776,32570,33394,32779,32782,32782,55899,288
54143,912,32776,32579,33359,32780,32781,32782,55896,288
54144,865,32776,32555,33417,32779,32781,32782,55899,288
54145,865,32776,32539,33385,32779,32781,32782,55898,288
54146,866,32776,32559,33342,32779,32781,32783,55899,288
54147,866,32776,32564,33407,32779,32781,32783,55903,288
54148,866,32776,32577,33380,32779,32781,32782,55897,287
54149,866,32776,32568,33344,32779,32780,32782,55896,289
54150,870,32776,32551,33414,32779,32781,32783,55899,288
54151,873,32775,32543,33370,32778,32781,32782,55897,288
54152,865,32777,32571,33423,32778,32781,32782,55894,288
54153,864,32776,32576,33383,32780,32781,32783,55897,288
54154,865,32776,32561,33434,32779,32782,32783,55899,290
54155,863,32776,32584,33393,32779,32781,32783,55896,288
54156,863,32775,32586,33372,32779,32782,32781,55899,288
54157,869,32776,32570,33416,32779,32781,32783,55898,287
54158,866,32777,32567,33372,32781,32781,32782,55898,289
54159,866,32777,32537,33426,32779,32782,32783,55897,288
54160,868,32776,32566,33391,32778,32780,32781,55899,288
54161,865,32776,32570,33346,32779,32781,32783,55899,288
54162,866,32776,32576,33416,32778,32780,32782,55898,288
