counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
4020983,866,32778,43941,43889,32777,32782,32784,52901,285
4020984,867,32776,43946,43851,32779,32780,32782,52901,284
4020985,867,32775,43897,43891,32780,32780,32782,52899,292
4020986,865,32776,43925,43838,32779,32781,32782,52893,291
4020987,862,32775,43938,43915,32778,32780,32782,52900,290
4020988,866,32777,43887,43815,32778,32782,32782,52903,291
4020989,866,32775,43924,43882,32779,32781,32783,52896,286
4020990,865,32777,43934,43807,32778,32783,32782,52904,285
4020991,866,32775,43918,43884,32780,32780,32785,52894,289
4020992,865,32777,43933,43820,32780,32782,32782,52888,288
4020993,864,32776,43932,43868,32778,32782,32780,52901,280
4020994,868,32775,43918,43807,32777,32781,32781,52902,292
4020995,897,32774,43944,43837,32779,32781,32782,52911,290
4020996,865,32776,43885,43866,32778,32781,32783,52904,290
4020997,866,32777,43936,43824,32777,32781,32784,52897,291
4020998,867,32777,43955,43889,32780,32781,32782,52900,287
4020999,866,32776,43911,43864,32779,32781,32781,52901,288
4021000,869,32775,43948,43898,32779,32780,32783,52901,288
4021001,866,32776,43966,43863,32778,32780,32783,52904,287
4021002,866,32777,43935,43887,32778,32781,32782,52902,287
4021003,866,32775,43921,43883,32779,32781,32784,52901,288
4021004,865,32777,43941,43871,32778,32783,32781,52901,290
4021005,866,32774,43929,43875,32780,32780,32782,52901,291
4021006,867,32776,43880,43863,32778,32781,32783,52906,288
4021007,865,32775,43942,43878,32779,32780,32783,52901,290
4021008,866,32777,43953,43870,32777,32781,32783,52890,286
4021009,863,32777,43896,43918,32778,32781,32784,52902,287
4021010,866,32776,43949,43855,32779,32780,32783,52900,288
4021011,866,32776,43947,43926,32777,32782,32781,52902,287
4021012,867,32775,43914,43853,32778,32780,32782,52901,289
4021013,866,32776,43937,43931,32778,32780,32784,52902,288
4021014,866,32778,43933,43827,32778,32782,32784,52902,281
4021015,865,32777,43914,43888,32780,32781,32785,52901,289
4021016,866,32777,43900,43858,32779,32781,32783,52896,287
4021017,867,32775,43964,43926,32781,32780,32782,52901,288
4021018,869,32774,43975,43856,32779,32781,32782,52901,288
4021019,866,32776,43907,43921,32777,32781,32783,52902,287
4021020,865,32778,43925,43819,32778,32782,32783,52911,288
4021021,866,32775,43933,43900,32779,32781,32784,52898,290
4021022,866,32776,43892,43830,32779,32783,32782,52901,288
4021023,865,32775,43938,43923,32779,32779,32781,52900,288
4021024,869,32776,43963,43849,32777,32781,32783,52901,288
4021025,865,32777,43936,43921,32778,32780,32783,52903,287
4021026,866,32776,43908,43839,32779,32783,32783,52902,287
4021027,866,32776,43924,43902,32778,32782,32782,52904,291
4021028,866,32775,43916,43817,32780,32780,32783,52891,284
4021029,898,32775,43963,43861,32777,32780,32782,52898,288
4021030,867,32775,43903,43883,32779,32780,32783,52908,294
4021031,865,32777,43936,43852,32778,32781,32783,52899,282
4021032,914,32776,43958,43884,32779,32781,32782,52896,288
4021033,866,32777,43949,43908,32778,32781,32783,52901,287
4021034,866,32777,43945,43838,32779,32783,32782,52900,285
4021035,865,32775,43926,43875,32780,32780,32782,52899,292
4021036,908,32778,43942,43875,32775,32781,32782,52909,285
4021037,867,32776,43905,43839,32780,32782,32784,52895,283
4021038,865,32776,43931,43880,32778,32782,32784,52897,284
4021039,862,32776,43958,43900,32778,32783,32782,52901,287
4021040,866,32775,43921,43870,32779,32781,32781,52901,288
4021041,866,32775,43947,43903,32779,32781,32782,52902,289
4021042,867,32775,43950,43855,32777,32781,32782,52897,287
4021043,867,32778,43917,43894,32778,32781,32784,52905,284
4021044,867,32777,43931,43875,32779,32781,32783,52900,288
4021045,871,32776,43959,43899,32778,32779,32782,52903,288
4021046,866,32776,43963,43887,32777,32781,32782,52903,287
4021047,865,32776,43912,43901,32778,32781,32783,52901,289
4021048,866,32776,43936,43835,32778,32783,32783,52902,290
4021049,866,32775,43943,43880,32779,32781,32784,52894,285
4021050,868,32774,43942,43858,32779,32781,32782,52899,288
4021051,865,32776,43943,43909,32778,32780,32783,52902,289
4021052,866,32776,43979,43858,32778,32782,32783,52904,286
4021053,866,32777,43947,43924,32778,32782,32783,52902,287
4021054,870,32775,43879,43841,32779,32781,32782,52901,291
4021055,866,32774,43919,43906,32779,32780,32782,52901,291
4021056,923,32776,43922,43848,32778,32782,32783,52896,287
4021057,865,32776,43940,43897,32778,32782,32782,52902,288
4021058,866,32774,43958,43872,32779,32780,32781,52901,288
4021059,866,32775,43945,43897,32778,32779,32782,52901,289
4021060,866,32776,43890,43858,32778,32780,32783,52901,282
4021061,865,32777,43945,43858,32778,32780,32783,52897,290
4021062,868,32776,43949,43893,32779,32782,32782,52898,287
4021063,866,32775,43917,43875,32780,32782,32782,52901,289
4021064,866,32775,43967,43894,32779,32782,32781,52903,289
4021065,866,32776,43958,43871,32778,32781,32781,52903,288
4021066,869,32774,43913,43868,32777,32781,32782,52899,286
4021067,866,32775,43942,43849,32779,32782,32783,52898,288
4021068,871,32776,43960,43901,32779,32782,32783,52900,288
4021069,865,32775,43948,43878,32777,32782,32782,52901,287
4021070,866,32776,43910,43889,32779,32782,32783,52901,288
4021071,866,32776,43965,43865,32778,32781,32783,52902,287
4021072,866,32776,43949,43900,32780,32781,32782,52902,288
4021073,866,32775,43901,43867,32779,32781,32782,52901,288
4021074,866,32776,43912,43889,32778,32782,32782,52902,291
4021075,866,32775,43928,43835,32779,32779,32784,52894,284
4021076,863,32776,43893,43919,32779,32781,32783,52900,288
4021077,866,32776,43955,43856,32778,32780,32783,52902,287
4021078,863,32777,43949,43917,32778,32781,32783,52902,286
4021079,866,32777,43910,43836,32779,32781,32783,52902,287
4021080,865,32775,43930,43907,32779,32781,32783,52901,289
4021081,866,32775,43941,43830,32779,32781,32781,52901,288
4021082,866,32775,43929,43913,32778,32781,32783,52903,288
4021083,865,32777,43903,43824,32779,32780,32783,52905,291
4021084,862,32774,43932,43891,32779,32779,32784,52899,288
4021085,866,32776,43943,43827,32777,32781,32783,52893,286
4021086,865,32777,43919,43900,32778,32781,32784,52902,287
4021087,867,32776,43944,43840,32779,32781,32783,52902,286
4021088,866,32775,43947,43894,32780,32782,32782,52901,289
4021089,866,32775,43897,43839,32779,32779,32782,52900,288
4021090,862,32775,43951,43876,32780,32780,32783,52902,288
4021091,865,32776,43954,43869,32778,32780,32782,52900,288
