SoC,OCV
0.0,48.480234783731625
0.001,48.48048220064629
0.002,48.48072961623504
0.003,48.480977030496454
0.004,48.48122444342915
0.005,48.481471855031714
0.006,48.48171926530275
0.007,48.481966674240866
0.008,48.48221408184465
0.009,48.482461488112705
0.01,48.48270889304363
0.011,48.482956296636026
0.012,48.483203698888495
0.013,48.48345109979963
0.014,48.48369849936804
0.015,48.483945897592314
0.016,48.484193294471055
0.017,48.48444069000286
0.018,48.48468808418633
0.019,48.48493547702007
0.02,48.48518286850268
0.021,48.48543025863275
0.022,48.48567764740889
0.023,48.48592503482969
0.024,48.48617242089375
0.025,48.48641980559968
0.026,48.486667188946065
0.027,48.48691457093152
0.028,48.487161951554626
0.029,48.487409330814
0.03,48.48765670870823
0.031,48.487904085235925
0.032,48.488151460395684
0.033,48.4883988341861
0.034,48.488646206605765
0.035,48.48889357765329
0.036,48.48914094732727
0.037,48.489388315626314
0.038,48.48963568254901
0.039,48.48988304809396
0.04,48.49013041225977
0.041,48.490377775045026
0.042,48.490625136448344
0.043,48.49087249646831
0.044,48.491119855103534
0.045,48.4913672123526
0.046,48.491614568214125
0.047,48.4918619226867
0.048,48.49210927576893
0.049,48.49235662745941
0.05,48.492603977756744
0.051,48.49285132665952
0.052,48.49309867416634
0.053,48.493346020275816
0.054,48.49359336498653
0.055,48.4938407082971
0.056,48.49408805020611
0.057,48.49433539071217
0.058,48.49458272981388
0.059,48.494830067509824
0.06,48.49507740379862
0.061,48.49532473867885
0.062,48.49557207214913
0.063,48.495819404208056
0.064,48.49606673485422
0.065,48.49631406408623
0.066,48.49656139190268
0.067,48.49680871830217
0.068,48.4970560432833
0.069,48.49730336684467
0.07,48.49755068898488
0.071,48.49779800970253
0.072,48.49804532899621
0.073,48.49829264686453
0.074,48.49853996330609
0.075,48.498787278319476
0.076,48.49903459190331
0.077,48.499281904056176
0.078,48.49952921477667
0.079,48.49977652406341
0.08,48.50002383191498
0.081,48.50027113832998
0.082,48.50051844330701
0.083,48.50076574684467
0.084,48.501013048941566
0.085,48.5012603495963
0.086,48.50150764880747
0.087,48.501754946573655
0.088,48.50200224289347
0.089,48.502249537765515
0.09,48.502496831188395
0.091,48.502744123160696
0.092,48.50299141368102
0.093,48.50323870274798
0.094,48.50348599036016
0.095,48.50373327651617
0.096,48.503980561214604
0.097,48.50422784445407
0.098,48.504475126233146
0.099,48.50472240655046
0.1,48.50496968540458
0.101,48.50521696279414
0.102,48.50546423871771
0.103,48.50571151317391
0.104,48.50595878616132
0.105,48.50620605767856
0.106,48.506453327724216
0.107,48.50670059629689
0.108,48.50694786339518
0.109,48.507195129017695
0.11,48.507442393163025
0.111,48.50768965582977
0.112,48.507936917016536
0.113,48.50818417672191
0.114,48.50843143494451
0.115,48.50867869168292
0.116,48.50892594693575
0.117,48.50917320070159
0.118,48.509420452979036
