Actual Voltage,Divided Voltage,ADS1115 Reaading,ADS Voltage Reading
55.2,4.6,24273,4.5511875
52.8,4.4,23145,4.3396875
52.4,4.366666667,22989,4.3104375
53.6,4.466666667,23524,4.41075
53.9,4.491666667,23690,4.441875
54,4.5,23710,4.445625
54,4.5,23738,4.450875
51.8,4.316666667,22720,4.26
51.5,4.291666667,22609,4.2391875
53,4.416666667,23276,4.36425
53.1,4.425,23302,4.369125
53.1,4.425,23311,4.3708125
50.9,4.241666667,22354,4.191375
52.1,4.341666667,22817,4.2781875
52.3,4.358333333,22974,4.307625
52.4,4.366666667,22988,4.31025
50.9,4.241666667,22329,4.1866875
50.4,4.2,22107,4.1450625
50.2,4.183333333,22031,4.1308125
51.4,4.283333333,22581,4.2339375
51.7,4.308333333,22695,4.2553125
51.8,4.316666667,22729,4.2616875
49.8,4.15,21821,4.0914375
49.6,4.133333333,21779,4.0835625
51.2,4.266666667,22446,4.208625
51.2,4.266666667,22500,4.21875
51.3,4.275,22519,4.2223125
49.5,4.125,21714,4.071375
50.7,4.225,22258,4.173375
50.8,4.233333333,22293,4.1799375
50,4.166666667,21945,4.1146875
50.2,4.183333333,22034,4.131375
48.1,4.008333333,21102,3.956625
49.4,4.116666667,21686,4.066125
49.4,4.116666667,21697,4.0681875
47.6,3.966666667,20892,3.91725
49.1,4.091666667,21545,4.0396875
45.1,3.758333333,19864,3.7245
46.7,3.891666667,20495,3.8428125
48.2,4.016666667,21172,3.96975
21.3,1.775,9291,1.7420625
22.1,1.841666667,9699,1.8185625
22.8,1.9,10005,1.8759375
23.5,1.958333333,10301,1.9314375
23.3,1.941666667,10240,1.92
24,2,10547,1.9775625
24.5,2.041666667,10773,2.0199375
24.3,2.025,10683,2.0030625
24.8,2.066666667,10866,2.037375
24.5,2.041666667,10775,2.0203125
24.7,2.058333333,10852,2.03475
