Date,Time,time_passed_since_start,time_min,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
25/3/2026,43:17.1,0,0,-42,-0.1575,21,0.07875,24274,54.6165,1021
25/3/2026,43:17.1,32,0.000533333,-36,-0.135,22,0.0825,24275,54.61875,0
25/3/2026,43:17.1,63,0.00105,-38,-0.1425,20,0.075,24272,54.612,0
25/3/2026,43:17.1,95,0.001583333,-39,-0.14625,32,0.12,24272,54.612,0
25/3/2026,43:17.1,126,0.0021,-38,-0.1425,23,0.08625,24273,54.61425,0
25/3/2026,43:17.1,157,0.002616667,-39,-0.14625,17,0.06375,24272,54.612,0
25/3/2026,43:17.1,189,0.00315,-33,-0.12375,37,0.13875,24273,54.61425,0
25/3/2026,43:17.1,220,0.003666667,-34,-0.1275,33,0.12375,24273,54.61425,0
25/3/2026,43:17.1,251,0.004183333,-35,-0.13125,24,0.09,24274,54.6165,0
25/3/2026,43:17.1,283,0.004716667,-36,-0.135,29,0.10875,24272,54.612,0
25/3/2026,43:17.1,314,0.005233333,-35,-0.13125,24,0.09,24273,54.61425,0
25/3/2026,43:17.1,346,0.005766667,-38,-0.1425,29,0.10875,24275,54.61875,0
25/3/2026,43:17.1,377,0.006283333,-41,-0.15375,30,0.1125,24274,54.6165,0
25/3/2026,43:17.1,409,0.006816667,-32,-0.12,28,0.105,24272,54.612,0
25/3/2026,43:17.1,440,0.007333333,-33,-0.12375,22,0.0825,24272,54.612,0
25/3/2026,43:17.1,472,0.007866667,-44,-0.165,22,0.0825,24272,54.612,0
25/3/2026,43:17.1,503,0.008383333,-42,-0.1575,26,0.0975,24274,54.6165,0
25/3/2026,43:17.1,534,0.0089,-40,-0.15,29,0.10875,24272,54.612,0
25/3/2026,43:17.1,565,0.009416667,-40,-0.15,30,0.1125,24271,54.60975,0
25/3/2026,43:17.1,597,0.00995,-38,-0.1425,25,0.09375,24271,54.60975,0
25/3/2026,43:17.1,706,0.011766667,-43,-0.16125,29,0.10875,24272,54.612,0
25/3/2026,43:17.1,835,0.013916667,-44,-0.165,25,0.09375,24272,54.612,0
25/3/2026,43:17.1,866,0.014433333,-35,-0.13125,28,0.105,24273,54.61425,0
25/3/2026,43:17.1,898,0.014966667,-35,-0.13125,38,0.1425,24274,54.6165,0
25/3/2026,43:17.1,930,0.0155,-38,-0.1425,22,0.0825,24273,54.61425,0
25/3/2026,43:17.1,961,0.016016667,-28,-0.105,31,0.11625,24272,54.612,0
25/3/2026,43:17.1,993,0.01655,-38,-0.1425,31,0.11625,24274,54.6165,0
25/3/2026,43:17.1,1024,0.017066667,-36,-0.135,30,0.1125,24273,54.61425,0
25/3/2026,43:17.1,1055,0.017583333,-40,-0.15,19,0.07125,24275,54.61875,0
25/3/2026,43:17.1,1087,0.018116667,-37,-0.13875,26,0.0975,24273,54.61425,0
25/3/2026,43:17.1,1118,0.018633333,-35,-0.13125,26,0.0975,24274,54.6165,0
25/3/2026,43:17.1,1150,0.019166667,-30,-0.1125,27,0.10125,24273,54.61425,0
25/3/2026,43:17.1,1181,0.019683333,-37,-0.13875,26,0.0975,24274,54.6165,0
25/3/2026,43:17.1,1213,0.020216667,-39,-0.14625,26,0.0975,24271,54.60975,0
25/3/2026,43:17.1,1244,0.020733333,-39,-0.14625,24,0.09,24272,54.612,0
25/3/2026,43:17.1,1275,0.02125,-39,-0.14625,26,0.0975,24271,54.60975,0
25/3/2026,43:17.1,1307,0.021783333,-43,-0.16125,24,0.09,24271,54.60975,0
25/3/2026,43:17.1,1338,0.0223,-39,-0.14625,25,0.09375,24273,54.61425,0
25/3/2026,43:17.1,1369,0.022816667,-42,-0.1575,26,0.0975,24273,54.61425,0
25/3/2026,43:17.1,1401,0.02335,-45,-0.16875,36,0.135,24272,54.612,0
25/3/2026,43:17.1,1525,0.025416667,-31,-0.11625,28,0.105,24272,54.612,0
25/3/2026,43:17.1,1654,0.027566667,-41,-0.15375,30,0.1125,24272,54.612,0
25/3/2026,43:17.1,1685,0.028083333,-36,-0.135,28,0.105,24274,54.6165,0
25/3/2026,43:17.1,1717,0.028616667,-39,-0.14625,42,0.1575,24273,54.61425,0
25/3/2026,43:17.1,1748,0.029133333,-43,-0.16125,31,0.11625,24272,54.612,0
25/3/2026,43:17.1,1780,0.029666667,-36,-0.135,26,0.0975,24274,54.6165,0
25/3/2026,43:17.1,1811,0.030183333,-40,-0.15,32,0.12,24272,54.612,0
25/3/2026,43:17.1,1843,0.030716667,-40,-0.15,36,0.135,24271,54.60975,0
25/3/2026,43:17.1,1874,0.031233333,-33,-0.12375,30,0.1125,24275,54.61875,0
25/3/2026,43:17.1,1906,0.031766667,-35,-0.13125,30,0.1125,24272,54.612,0
25/3/2026,43:17.1,1937,0.032283333,-38,-0.1425,24,0.09,24274,54.6165,0
25/3/2026,43:17.1,1968,0.0328,-33,-0.12375,39,0.14625,24273,54.61425,0
25/3/2026,43:17.1,1999,0.033316667,-33,-0.12375,29,0.10875,24272,54.612,0
25/3/2026,43:17.1,2031,0.03385,-46,-0.1725,30,0.1125,24272,54.612,0
25/3/2026,43:17.1,2063,0.034383333,-40,-0.15,39,0.14625,24273,54.61425,0
25/3/2026,43:17.1,2094,0.0349,-40,-0.15,25,0.09375,24272,54.612,0
25/3/2026,43:17.1,2126,0.035433333,-40,-0.15,26,0.0975,24272,54.612,0
25/3/2026,43:17.1,2157,0.03595,-38,-0.1425,32,0.12,24273,54.61425,0
25/3/2026,43:17.1,2188,0.036466667,-39,-0.14625,31,0.11625,24272,54.612,0
25/3/2026,43:17.1,2219,0.036983333,-38,-0.1425,30,0.1125,24272,54.612,0
25/3/2026,43:17.9,2582,0.043033333,-32,-0.12,30,0.1125,24272,54.612,0
25/3/2026,43:17.9,2711,0.045183333,-35,-0.13125,34,0.1275,24272,54.612,0
25/3/2026,43:17.9,2744,0.045733333,-35,-0.13125,40,0.15,24270,54.6075,0
25/3/2026,43:17.9,2775,0.04625,-40,-0.15,36,0.135,24273,54.61425,0
25/3/2026,43:17.9,2806,0.046766667,-45,-0.16875,29,0.10875,24272,54.612,0
25/3/2026,43:17.9,2838,0.0473,-44,-0.165,28,0.105,24270,54.6075,0
25/3/2026,43:17.9,2870,0.047833333,-49,-0.18375,28,0.105,24272,54.612,0
25/3/2026,43:17.9,2901,0.04835,-48,-0.18,35,0.13125,24273,54.61425,0
