Date,Time,time_passed_since_start,corrected second,time_min,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
1/4/2026,08:03.7,0,0,0,-21,-0.07875,14,0.0525,22532,50.697,0
1/4/2026,08:03.7,59,59,0.000983333,-24,-0.09,8,0.03,22532,50.697,0
1/4/2026,08:03.7,90,90,0.0015,-21,-0.07875,17,0.06375,22532,50.697,0
1/4/2026,08:03.7,122,122,0.002033333,-24,-0.09,12,0.045,22532,50.697,0
1/4/2026,08:03.7,153,153,0.00255,-23,-0.08625,8,0.03,22533,50.69925,0
1/4/2026,08:03.7,184,184,0.003066667,-25,-0.09375,2,0.0075,22532,50.697,0
1/4/2026,08:03.7,216,216,0.0036,-25,-0.09375,11,0.04125,22532,50.697,0
1/4/2026,08:03.7,247,247,0.004116667,-23,-0.08625,7,0.02625,22531,50.69475,0
1/4/2026,08:03.7,279,279,0.00465,-17,-0.06375,5,0.01875,22532,50.697,0
1/4/2026,08:03.7,310,310,0.005166667,-21,-0.07875,5,0.01875,22532,50.697,0
1/4/2026,08:03.7,341,341,0.005683333,-25,-0.09375,12,0.045,22532,50.697,0
1/4/2026,08:03.7,373,373,0.006216667,-22,-0.0825,13,0.04875,22532,50.697,0
1/4/2026,08:03.7,404,404,0.006733333,-30,-0.1125,11,0.04125,22532,50.697,0
1/4/2026,08:03.7,436,436,0.007266667,-19,-0.07125,13,0.04875,22534,50.7015,0
1/4/2026,08:03.7,467,467,0.007783333,-22,-0.0825,10,0.0375,22532,50.697,0
1/4/2026,08:03.7,498,498,0.0083,-26,-0.0975,15,0.05625,22533,50.69925,0
1/4/2026,08:03.7,530,530,0.008833333,-15,-0.05625,5,0.01875,22533,50.69925,0
1/4/2026,08:03.7,561,561,0.00935,-13,-0.04875,13,0.04875,22534,50.7015,0
1/4/2026,08:03.7,593,593,0.009883333,-22,-0.0825,4,0.015,22533,50.69925,0
1/4/2026,08:03.7,624,624,0.0104,-28,-0.105,10,0.0375,22533,50.69925,0
1/4/2026,08:04.6,848,848,0.014133333,-17,-0.06375,-3,-0.01125,22533,50.69925,0
1/4/2026,08:04.6,978,978,0.0163,-26,-0.0975,5,0.01875,22533,50.69925,0
1/4/2026,08:04.6,1010,1010,0.016833333,-25,-0.09375,7,0.02625,22531,50.69475,0
1/4/2026,08:04.6,1041,1041,0.01735,-23,-0.08625,9,0.03375,22532,50.697,0
1/4/2026,08:04.6,1073,1073,0.017883333,-23,-0.08625,10,0.0375,22532,50.697,0
1/4/2026,08:04.6,1104,1104,0.0184,-21,-0.07875,11,0.04125,22532,50.697,0
