Date,Time,time_passed_since_start,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
2026-03-25,14:43:17.088601,140609,-42,-0.1575,21,0.07875,24274,54.6165,1021
2026-03-25,14:43:17.088601,140641,-36,-0.135,22,0.0825,24275,54.61875,0
2026-03-25,14:43:17.088601,140672,-38,-0.1425,20,0.075,24272,54.612,0
2026-03-25,14:43:17.088601,140704,-39,-0.14625,32,0.12,24272,54.612,0
2026-03-25,14:43:17.088601,140735,-38,-0.1425,23,0.08625,24273,54.61425,0
2026-03-25,14:43:17.088601,140766,-39,-0.14625,17,0.06375,24272,54.612,0
2026-03-25,14:43:17.088601,140798,-33,-0.12375,37,0.13875,24273,54.61425,0
2026-03-25,14:43:17.088601,140829,-34,-0.1275,33,0.12375,24273,54.61425,0
2026-03-25,14:43:17.088601,140860,-35,-0.13125,24,0.09,24274,54.6165,0
2026-03-25,14:43:17.088601,140892,-36,-0.135,29,0.10875,24272,54.612,0
2026-03-25,14:43:17.088601,140923,-35,-0.13125,24,0.09,24273,54.61425,0
2026-03-25,14:43:17.088601,140955,-38,-0.1425,29,0.10875,24275,54.61875,0
2026-03-25,14:43:17.088601,140986,-41,-0.15375,30,0.1125,24274,54.6165,0
2026-03-25,14:43:17.088601,141018,-32,-0.12,28,0.105,24272,54.612,0
2026-03-25,14:43:17.088601,141049,-33,-0.12375,22,0.0825,24272,54.612,0
2026-03-25,14:43:17.088601,141081,-44,-0.165,22,0.0825,24272,54.612,0
2026-03-25,14:43:17.088601,141112,-42,-0.1575,26,0.0975,24274,54.6165,0
2026-03-25,14:43:17.088601,141143,-40,-0.15,29,0.10875,24272,54.612,0
2026-03-25,14:43:17.088601,141174,-40,-0.15,30,0.1125,24271,54.60975,0
2026-03-25,14:43:17.088601,141206,-38,-0.1425,25,0.09375,24271,54.60975,0
2026-03-25,14:43:17.088601,141315,-43,-0.16125,29,0.10875,24272,54.612,0
2026-03-25,14:43:17.088601,141444,-44,-0.165,25,0.09375,24272,54.612,0
2026-03-25,14:43:17.088601,141475,-35,-0.13125,28,0.105,24273,54.61425,0
2026-03-25,14:43:17.088601,141507,-35,-0.13125,38,0.1425,24274,54.6165,0
2026-03-25,14:43:17.088601,141539,-38,-0.1425,22,0.0825,24273,54.61425,0
2026-03-25,14:43:17.088601,141570,-28,-0.105,31,0.11625,24272,54.612,0
2026-03-25,14:43:17.088601,141602,-38,-0.1425,31,0.11625,24274,54.6165,0
2026-03-25,14:43:17.088601,141633,-36,-0.135,30,0.1125,24273,54.61425,0
2026-03-25,14:43:17.088601,141664,-40,-0.15,19,0.07125,24275,54.61875,0
2026-03-25,14:43:17.088601,141696,-37,-0.13875,26,0.0975,24273,54.61425,0
2026-03-25,14:43:17.088601,141727,-35,-0.13125,26,0.0975,24274,54.6165,0
2026-03-25,14:43:17.088601,141759,-30,-0.1125,27,0.10125,24273,54.61425,0
2026-03-25,14:43:17.088601,141790,-37,-0.13875,26,0.0975,24274,54.6165,0
2026-03-25,14:43:17.088601,141822,-39,-0.14625,26,0.0975,24271,54.60975,0
2026-03-25,14:43:17.088601,141853,-39,-0.14625,24,0.09,24272,54.612,0
2026-03-25,14:43:17.088601,141884,-39,-0.14625,26,0.0975,24271,54.60975,0
2026-03-25,14:43:17.088601,141916,-43,-0.16125,24,0.09,24271,54.60975,0
2026-03-25,14:43:17.088601,141947,-39,-0.14625,25,0.09375,24273,54.61425,0
2026-03-25,14:43:17.088601,141978,-42,-0.1575,26,0.0975,24273,54.61425,0
2026-03-25,14:43:17.088601,142010,-45,-0.16875,36,0.135,24272,54.612,0
2026-03-25,14:43:17.088601,142134,-31,-0.11625,28,0.105,24272,54.612,0
2026-03-25,14:43:17.088601,142263,-41,-0.15375,30,0.1125,24272,54.612,0
2026-03-25,14:43:17.088601,142294,-36,-0.135,28,0.105,24274,54.6165,0
2026-03-25,14:43:17.088601,142326,-39,-0.14625,42,0.1575,24273,54.61425,0
2026-03-25,14:43:17.088601,142357,-43,-0.16125,31,0.11625,24272,54.612,0
2026-03-25,14:43:17.088601,142389,-36,-0.135,26,0.0975,24274,54.6165,0
2026-03-25,14:43:17.088601,142420,-40,-0.15,32,0.12,24272,54.612,0
2026-03-25,14:43:17.088601,142452,-40,-0.15,36,0.135,24271,54.60975,0
2026-03-25,14:43:17.088601,142483,-33,-0.12375,30,0.1125,24275,54.61875,0
