Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
5V_In,5V_Input,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,164.5,-90.75,-90.0,top
AIN_4,AIN_4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,122.0,-71.75,90.0,top
AIN_5,AIN_5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,122.0,-62.25,90.0,top
B1_Net/B2_In,B1_Net/B2_In,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,164.5,-62.25,-90.0,top
B2_Net/B2_Out,B2_Net/B2_Out,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,164.5,-52.75,-90.0,top
Batt1_V,Batt1_V,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,122.0,-90.75,90.0,top
Batt2_V,Batt2_V,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,122.0,-81.25,90.0,top
C10,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.5,-66.5,-90.0,top
C11,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.5,-60.5,-90.0,top
C12,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.8625,-67.5,0.0,top
C13,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.0,-74.1375,-90.0,top
C14,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-59.5,90.0,top
C15,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-68.3625,90.0,top
C16,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-72.3625,90.0,top
C17,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.5,-63.1375,90.0,top
C18,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.5,-59.3625,90.0,top
C19,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-64.03,90.0,top
C2,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.0,-74.0,-90.0,top
C20,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.5,-66.5,-90.0,top
C21,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.5,-70.8625,90.0,top
C22,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.5,-66.9125,90.0,top
C23,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.0,-45.3625,-90.0,top
C3,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.5,-74.1375,-90.0,top
C4,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.5,-79.3625,-90.0,top
C5,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.0,-62.5,-90.0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.5,-45.3625,-90.0,top
C7,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.0,-62.5,-90.0,top
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.5,-62.5,-90.0,top
C9,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.0,-64.5,0.0,top
CS,TestPoint,TestPoint_Pad_D1.0mm,139.5,-55.0,90.0,top
IC1,TLV76733DGNR,SOP65P490X110-9N,145.0,-74.0,0.0,top
IC2,ESP32-C3-WROOM-02-H4,ESP32C3WROOM02H4,136.75,-45.0,0.0,top
