counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
20539,863,32778,32804,32714,32777,32781,32782,28097,292
20540,864,32776,32809,32743,32778,32781,32782,28097,288
20541,866,32777,32801,32685,32780,32781,32783,28099,287
20542,865,32776,32794,32749,32780,32780,32782,28098,289
20543,866,32776,32792,32748,32779,32780,32783,28098,288
20544,866,32776,32787,32691,32779,32780,32782,28098,288
20545,867,32777,32773,32728,32780,32780,32783,28099,288
20546,866,32777,32801,32747,32779,32782,32783,28099,288
20547,871,32777,32786,32710,32778,32780,32781,28099,287
20548,865,32776,32827,32697,32778,32780,32782,28098,288
20549,866,32776,32833,32760,32780,32781,32782,28099,287
20550,866,32776,32841,32720,32779,32780,32783,28099,288
20551,862,32777,32829,32690,32778,32781,32781,28100,287
20552,866,32781,32824,32738,32778,32778,32782,28104,287
20553,866,32777,32800,32691,32779,32781,32783,28096,282
20554,866,32778,32805,32667,32777,32783,32783,28097,286
20555,869,32777,32832,32763,32779,32780,32783,28098,288
20556,865,32776,32832,32727,32778,32780,32783,28098,287
20557,865,32777,32835,32682,32780,32780,32782,28099,287
20558,866,32777,32816,32760,32778,32780,32782,28099,286
20559,865,32778,32774,32700,32779,32782,32782,28097,287
20560,866,32778,32777,32646,32778,32781,32782,28096,291
20561,863,32776,32794,32744,32779,32780,32782,28096,288
20562,872,32777,32780,32689,32779,32781,32784,28097,292
20563,863,32777,32774,32642,32777,32782,32781,28096,290
20564,898,32776,32820,32674,32779,32781,32781,28095,288
20565,866,32778,32794,32699,32778,32782,32782,28101,287
20566,866,32777,32766,32710,32779,32782,32782,28098,283
20567,865,32777,32786,32680,32779,32781,32783,28090,288
20568,865,32775,32785,32718,32778,32781,32781,28098,286
20569,863,32776,32779,32713,32779,32780,32784,28095,290
20570,865,32776,32791,32657,32779,32780,32784,28095,296
20571,868,32777,32818,32703,32779,32782,32782,28099,286
20572,866,32778,32814,32723,32778,32782,32782,28097,299
20573,866,32778,32797,32675,32777,32781,32783,28098,280
20574,867,32778,32802,32662,32779,32781,32783,28103,291
20575,867,32776,32817,32717,32779,32780,32784,28095,286
20576,866,32777,32805,32676,32779,32780,32784,28095,290
20577,865,32777,32817,32662,32779,32781,32784,28096,289
20578,866,32776,32818,32718,32779,32780,32784,28094,289
20579,865,32776,32817,32708,32778,32781,32782,28096,288
