counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
64529,866,36038,33428,32047,35990,32782,32782,30823,28667
64530,866,36069,33422,32029,36001,32781,32783,30822,28667
64531,864,36064,33441,31975,35985,32782,32784,30821,28664
64532,866,36058,33452,31943,36022,32782,32782,30821,28662
64533,867,36068,33481,32036,35973,32781,32781,30822,28664
64534,866,36049,33463,32021,36004,32782,32783,30820,28664
64535,866,36011,33421,31964,35958,32781,32782,30819,28663
64536,862,36011,33419,31968,36014,32783,32781,30826,28668
64537,863,36012,33449,32022,35944,32783,32781,30821,28663
64538,866,36033,33470,32000,36025,32781,32781,30821,28663
64539,866,36060,33483,31952,35968,32782,32783,30821,28666
64540,867,36051,33445,32002,36033,32782,32783,30820,28665
64541,866,36067,33413,32021,35948,32782,32784,30819,28665
64542,867,36067,33424,32009,36017,32781,32782,30822,28665
64543,864,36033,33451,31942,35969,32783,32782,30822,28664
64544,866,36010,33454,32007,35994,32782,32783,30821,28664
64545,867,36027,33457,32022,35982,32781,32784,30823,28666
64546,867,36024,33432,31978,35989,32781,32783,30821,28664
64547,867,36065,33410,31964,36001,32782,32783,30817,28662
64548,865,36068,33397,32023,35977,32781,32782,30820,28663
64549,867,36051,33448,32038,36013,32783,32781,30822,28663
64550,867,36049,33458,31983,35973,32783,32781,30822,28661
64551,867,36017,33455,31944,36015,32783,32782,30819,28663
64552,898,36069,33463,31970,36023,32781,32781,30825,28668
64553,866,36044,33453,31970,35932,32780,32782,30819,28664
64554,871,36065,33453,32017,36030,32783,32781,30820,28663
64555,865,36049,33421,32015,35938,32782,32781,30823,28665
64556,862,36021,33391,31962,36004,32782,32782,30822,28664
64557,910,36019,33448,32020,36009,32780,32782,30818,28662
64558,867,36061,33411,31951,35945,32781,32783,30822,28665
64559,866,36051,33395,32007,36019,32782,32782,30821,28663
64560,864,36023,33435,32029,35981,32781,32783,30824,28667
64561,867,35997,33449,32007,35987,32781,32782,30821,28664
64562,865,36017,33452,31947,36001,32778,32779,30815,28658
64563,867,36055,33448,32020,35967,32782,32782,30822,28663
64564,867,36063,33435,32034,36020,32782,32783,30821,28663
64565,909,36063,33420,32008,35988,32782,32782,30819,28663
64566,867,36044,33447,32030,35968,32782,32782,30820,28664
64567,864,36061,33435,31986,36032,32782,32782,30822,28662
64568,863,36072,33401,31955,35946,32782,32782,30824,28665
64569,867,36069,33426,32054,36020,32782,32782,30822,28663
64570,912,36082,33464,31982,36026,32781,32781,30818,28662
64571,867,36049,33397,32028,35923,32783,32783,30820,28664
64572,866,36055,33398,32029,35996,32781,32783,30820,28664
64573,871,36040,33420,31982,35929,32782,32783,30827,28668
64574,867,36052,33444,31956,36023,32782,32782,30820,28663
64575,866,36036,33455,32037,35945,32783,32781,30821,28664
64576,869,36035,33459,32042,36026,32784,32782,30821,28666
64577,866,36043,33441,32005,35953,32782,32781,30823,28666
64578,865,36059,33402,31965,36014,32781,32783,30821,28667
64579,867,36063,33420,32036,35946,32782,32781,30822,28663
64580,867,36055,33447,32050,35995,32783,32782,30821,28663
64581,871,36066,33468,32020,35964,32780,32783,30822,28665
64582,866,36048,33477,31966,36014,32781,32783,30822,28666
64583,866,36032,33452,32043,35982,32781,32781,30822,28666
64584,866,36050,33441,32057,36030,32781,32782,30822,28668
64585,867,36051,33413,31993,36020,32782,32783,30820,28665
64586,866,36046,33453,31952,36003,32781,32784,30819,28662
64587,870,36064,33469,32032,35987,32782,32782,30822,28665
64588,866,36090,33467,32061,36011,32782,32782,30822,28666
64589,866,36078,33455,32023,36020,32781,32782,30823,28667
64590,865,36045,33446,31970,35995,32782,32783,30822,28667
64591,863,36025,33391,32039,36034,32783,32782,30820,28665
64592,866,36041,33431,32029,35964,32781,32783,30820,28664
64593,872,36066,33467,32026,36031,32780,32782,30820,28665
64594,866,36081,33475,31980,35975,32782,32782,30824,28666
64595,866,36093,33480,32059,36040,32782,32782,30823,28667
64596,866,36073,33456,32048,35968,32781,32783,30823,28666
64597,864,36043,33406,31984,36021,32782,32782,30823,28664
64598,866,36010,33425,31954,35928,32781,32782,30820,28663
64599,870,36029,33465,32050,36029,32783,32782,30821,28666
64600,871,36035,33472,32037,35947,32782,32783,30822,28667
64601,866,36075,33463,32009,36023,32782,32783,30823,28666
64602,865,36080,33463,31967,35956,32782,32782,30823,28666
64603,865,36062,33405,32020,36022,32781,32782,30820,28665
64604,866,36042,33393,32025,35953,32782,32781,30822,28663
64605,869,36051,33456,32011,36012,32780,32784,30821,28666
64606,866,36030,33460,31967,35967,32782,32782,30822,28667
64607,866,36045,33466,32048,36034,32781,32782,30823,28666
64608,865,36065,33456,32047,35989,32781,32781,30823,28667
64609,867,36051,33431,31982,36008,32783,32783,30821,28663
64610,866,36060,33390,31966,35971,32781,32783,30819,28664
64611,868,36074,33418,32056,36011,32781,32781,30821,28665
64612,866,36074,33468,32053,36003,32781,32782,30822,28667
64613,866,36046,33472,32002,36004,32782,32783,30822,28666
64614,865,36034,33472,31963,36019,32781,32781,30823,28667
64615,870,36035,33442,32040,35970,32782,32782,30820,28665
64616,866,36051,33405,32030,36021,32783,32782,30821,28664
64617,872,36082,33415,32020,36002,32780,32782,30821,28667
64618,866,36088,33455,31959,36034,32781,32783,30823,28667
64619,865,36068,33467,32028,35991,32783,32783,30823,28665
64620,866,36039,33469,32043,36056,32782,32782,30822,28668
64621,865,36011,33458,31996,35964,32782,32781,30822,28665
64622,865,36028,33419,31946,36026,32781,32782,30821,28663
64623,871,36053,33428,32043,35974,32781,32783,30820,28666
64624,866,36076,33426,32066,36040,32781,32781,30823,28667
64625,866,36087,33488,32007,35971,32781,32783,30822,28667
64626,865,36072,33472,31970,36022,32782,32780,30822,28667
64627,863,36061,33454,32044,35963,32782,32783,30821,28666
64628,866,36034,33442,32025,36036,32782,32782,30821,28665
64629,873,36028,33441,32007,35959,32782,32783,30820,28666
64630,870,36062,33433,31964,36067,32782,32783,30822,28667
64631,865,36080,33460,32039,35969,32781,32782,30822,28666
64632,866,36077,33464,32046,36043,32782,32782,30823,28668
64633,865,36072,33462,31983,35952,32782,32782,30822,28664
64634,865,36076,33459,31949,36016,32782,32782,30819,28663
64635,870,36068,33457,32034,35970,32782,32783,30821,28665
64636,866,36067,33419,32047,36026,32783,32781,30822,28667
64637,866,36064,33452,32000,35990,32782,32783,30822,28667
64638,865,36070,33486,31966,36025,32782,32781,30822,28667
64639,864,36074,33473,32040,36012,32781,32784,30820,28664
64640,866,36073,33455,32023,36004,32781,32784,30820,28665
64641,870,36083,33465,31999,36021,32782,32781,30822,28665
64642,865,36078,33423,31965,36009,32781,32782,30821,28667
64643,866,36054,33432,32052,36040,32782,32782,30823,28666
64644,866,36032,33485,32023,35994,32782,32783,30822,28667
64645,868,36051,33493,31959,36041,32781,32782,30820,28665
64646,865,36053,33458,31962,35970,32780,32782,30819,28665
64647,868,36095,33473,32053,36055,32781,32782,30821,28666
64648,866,36062,33423,32018,35980,32780,32783,30821,28665
64649,866,36081,33424,31973,36045,32783,32782,30821,28663
64650,868,36082,33458,31968,35970,32782,32782,30822,28666
64651,866,36033,33464,32038,36039,32781,32782,30823,28665
64652,867,36048,33451,32019,35953,32781,32783,30820,28663
64653,862,36059,33465,31976,36046,32782,32783,30822,28665
64654,865,36058,33409,31978,35957,32783,32782,30822,28665
64655,866,36078,33414,32039,36023,32781,32782,30821,28663
64656,866,36096,33470,32028,35980,32782,32783,30820,28667
64657,868,36085,33468,31963,36034,32781,32785,30819,28664
64658,867,36050,33464,31967,35981,32782,32783,30820,28664
64659,870,36044,33483,32045,36037,32782,32781,30822,28665
64660,870,36062,33454,32033,35994,32782,32782,30821,28666
64661,865,36092,33437,31986,36035,32781,32782,30822,28667
64662,866,36100,33440,31970,36001,32783,32782,30823,28668
64663,865,36076,33458,32039,36014,32782,32782,30821,28665
64664,866,36079,33455,32019,36015,32781,32782,30818,28664
64665,865,36092,33476,31980,36015,32781,32783,30820,28666
64666,866,36052,33460,31985,36037,32782,32782,30822,28666
64667,866,36043,33420,32056,35999,32782,32783,30822,28668
64668,865,36053,33429,32041,36058,32782,32782,30823,28667
64669,865,36052,33459,31969,35972,32781,32783,30821,28665
64670,865,36078,33464,32010,36044,32781,32783,30820,28665
64671,865,36077,33480,32053,35976,32781,32784,30821,28665
64672,866,36091,33448,32014,36051,32782,32783,30823,28667
64673,866,36090,33412,31966,35967,32782,32783,30822,28667
64674,866,36062,33440,32050,36038,32782,32782,30823,28666
64675,866,36044,33447,32037,35949,32782,32784,30820,28665
64676,865,36031,33450,31994,36020,32783,32783,30819,28664
64677,868,36065,33460,31974,35963,32781,32782,30821,28665
64678,866,36078,33468,32058,36028,32782,32783,30823,28666
64679,865,36092,33411,32043,35984,32782,32782,30822,28666
64680,866,36095,33431,32004,36024,32782,32782,30821,28667
64681,865,36084,33450,31956,36007,32781,32782,30821,28664
64682,866,36054,33465,32033,35992,32782,32782,30821,28664
64683,868,36056,33451,32041,36019,32783,32783,30822,28665
64684,866,36054,33458,32001,36003,32780,32783,30821,28667
64685,866,36076,33421,31970,36041,32782,32783,30822,28667
64686,866,36092,33425,32065,36004,32783,32782,30823,28667
64687,866,36089,33457,32038,36042,32782,32784,30821,28666
64688,866,36083,33458,31975,35976,32781,32782,30820,28665
64689,870,36088,33474,31970,36059,32781,32782,30822,28665
64690,865,36063,33461,32054,36000,32780,32783,30823,28667
64691,866,36053,33429,32040,36049,32782,32782,30823,28666
64692,866,36066,33410,31988,35982,32780,32782,30823,28667
64693,866,36054,33430,31954,36042,32781,32783,30821,28665
64694,866,36061,33465,32039,35946,32782,32783,30819,28663
64695,870,36090,33481,32046,36049,32781,32783,30822,28666
64696,866,36093,33475,32004,35953,32781,32783,30822,28667
64697,866,36069,33443,31983,36047,32781,32782,30823,28667
64698,865,36043,33409,32068,35972,32781,32781,30821,28668
64924,866,36083,33464,32007,36052,32784,32782,30821,28664
64925,865,36092,33465,32030,35969,32781,32783,30820,28666
64926,866,36095,33429,31994,36032,32781,32784,30820,28665
64933,863,36123,33397,32015,36040,32782,32782,30821,28663
65257,864,36007,33426,31988,35977,32782,32781,30822,28662
65258,866,36015,33450,31960,35915,32781,32782,30821,28663
65259,869,36028,33448,32036,35978,32782,32783,30823,28664
65260,866,36008,33447,32027,35920,32781,32782,30821,28663
65261,912,36055,33484,32063,35943,32781,32782,30816,28660
65262,867,36026,33456,32019,35981,32782,32783,30820,28664
65263,865,36014,33454,31990,35924,32783,32783,30821,28661
65264,872,36025,33428,31953,35952,32782,32783,30825,28668
65265,867,36038,33424,32035,35923,32783,32783,30821,28663
65266,866,36001,33407,32035,35955,32782,32784,30821,28661
65267,863,35991,33440,31987,35953,32782,32782,30823,28664
65268,867,35984,33450,31968,35947,32782,32782,30821,28662
65269,922,36018,33419,32042,35979,32783,32783,30820,28662
65270,867,35974,33401,31965,35935,32783,32781,30822,28662
65271,866,35983,33428,32002,35957,32781,32782,30821,28662
65272,868,35994,33446,32045,35940,32783,32782,30825,28664
65273,865,36018,33439,32011,35955,32781,32782,30820,28662
65274,897,36030,33480,32043,35912,32782,32782,30817,28660
65275,865,35974,33455,31978,35987,32781,32782,30822,28663
65276,865,35980,33456,31974,35910,32781,32783,30821,28663
65277,869,35990,33406,32034,35972,32781,32783,30826,28665
65278,862,36000,33398,32014,35894,32782,32783,30821,28662
65279,866,36009,33446,31971,35987,32781,32782,30821,28662
65280,865,36010,33455,31997,35915,32782,32783,30824,28665
65281,866,36010,33454,32032,35958,32783,32782,30820,28663
65282,925,36010,33470,31963,35984,32782,32782,30822,28662
65283,862,35995,33440,32045,35910,32782,32782,30823,28662
65284,865,36008,33448,32025,35959,32781,32783,30822,28663
65285,867,35989,33461,31979,35912,32781,32783,30824,28663
65286,866,35962,33447,31964,35945,32781,32783,30820,28663
65287,916,35983,33464,31999,35974,32782,32781,30817,28658
65288,867,35992,33456,31944,35929,32782,32783,30822,28663
65289,865,35953,33437,32035,35940,32781,32784,30819,28663
65290,867,35959,33417,32019,35931,32782,32783,30826,28668
65291,871,35975,33412,31976,35938,32782,32781,30822,28662
65292,866,35987,33421,31951,35939,32782,32783,30821,28662
65293,870,36025,33435,32019,35957,32782,32782,30822,28663
65294,862,36022,33455,32033,35960,32781,32782,30821,28662
65295,911,36030,33468,32065,35979,32783,32782,30820,28662
65296,867,36007,33437,32030,35933,32782,32783,30821,28663
65297,866,36013,33454,31985,35983,32780,32783,30819,28663
65298,868,36011,33454,31945,35925,32782,32783,30827,28666
65299,870,36009,33435,32035,35974,32781,32783,30821,28662
65300,866,35945,33434,32026,35915,32781,32783,30821,28662
65301,867,35976,33412,31995,35989,32781,32782,30824,28663
65302,867,36007,33403,31944,35915,32783,32782,30822,28661
65303,907,36034,33455,32002,35914,32782,32782,30818,28661
65304,867,35975,33395,31944,35977,32783,32783,30822,28662
65305,864,35976,33421,32044,35894,32781,32782,30821,28662
65306,869,35992,33450,32026,35975,32780,32782,30827,28669
65307,866,36012,33473,31983,35896,32781,32783,30820,28663
65308,866,36004,33447,31953,35967,32781,32782,30819,28663
65309,866,36019,33427,32039,35900,32782,32782,30822,28664
65310,866,36004,33408,32030,35952,32781,32783,30820,28662
65311,925,36002,33460,32008,35985,32780,32782,30819,28663
65312,866,36027,33449,32039,35890,32780,32783,30820,28664
65313,866,36007,33442,32008,35961,32782,32782,30822,28661
65314,864,35975,33393,31945,35908,32782,32783,30822,28664
65315,865,35979,33407,32014,35971,32782,32782,30821,28663
65316,897,36010,33422,31994,35940,32781,32782,30815,28659
65317,864,36012,33403,32041,35989,32782,32782,30822,28664
65318,866,36010,33453,32009,35908,32783,32784,30821,28661
65319,867,36004,33473,31968,35993,32785,32783,30826,28668
65320,867,35960,33458,31981,35912,32783,32781,30822,28662
65321,866,35998,33441,32028,35981,32782,32782,30821,28661
65322,867,36008,33404,31996,35918,32782,32782,30822,28662
65323,866,36011,33391,31942,35983,32781,32782,30821,28663
65324,925,36027,33466,32034,35996,32782,32782,30819,28662
