counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
11323,870,34718,32775,30684,32779,32783,32783,55679,290
11324,866,34717,32775,30702,32779,32782,32783,55662,283
11325,865,34670,32775,30734,32778,32783,32783,55662,291
11326,862,34721,32775,30748,32778,32783,32783,55673,295
11327,866,34724,32775,30755,32779,32782,32782,55661,284
11328,914,34690,32775,30803,32777,32783,32782,55658,287
11329,865,34693,32775,30765,32778,32783,32782,55659,281
11330,866,34683,32775,30686,32778,32783,32781,55670,291
11331,868,34714,32775,30717,32778,32782,32781,55675,292
11332,870,34681,32774,30762,32776,32782,32782,55667,293
11333,913,34731,32776,30755,32776,32781,32782,55657,288
11334,863,34675,32775,30756,32778,32782,32783,55671,291
11335,868,34718,32777,30783,32777,32782,32782,55670,289
11336,872,34683,32774,30668,32778,32783,32784,55676,280
11337,862,34700,32775,30698,32776,32785,32783,55670,291
11338,865,34732,32776,30738,32778,32782,32782,55660,289
11339,863,34723,32775,30774,32777,32781,32785,55663,291
11340,865,34674,32775,30752,32777,32783,32784,55667,289
11341,927,34730,32774,30813,32778,32781,32783,55658,288
11342,862,34722,32774,30698,32777,32783,32782,55667,283
11343,865,34707,32775,30706,32778,32783,32782,55664,283
11344,867,34670,32775,30741,32777,32782,32782,55673,290
11345,865,34702,32775,30773,32778,32782,32783,55662,284
11346,901,34746,32777,30754,32778,32782,32782,55653,288
11347,864,34721,32775,30752,32778,32782,32783,55664,284
11348,871,34730,32775,30780,32776,32782,32783,55669,291
11349,866,34674,32775,30699,32777,32782,32782,55675,285
11350,866,34714,32775,30684,32778,32784,32783,55663,283
11351,866,34714,32775,30731,32777,32784,32782,55666,286
11352,864,34677,32776,30769,32778,32782,32784,55667,291
11353,866,34718,32776,30775,32779,32783,32783,55660,286
11354,930,34740,32775,30789,32777,32782,32783,55660,286
11355,867,34713,32776,30670,32778,32782,32785,55662,285
11356,871,34701,32776,30703,32779,32782,32784,55665,285
11357,866,34724,32775,30763,32778,32783,32781,55676,288
11358,866,34675,32776,30774,32778,32782,32782,55665,291
11359,918,34757,32776,30811,32776,32782,32783,55655,287
11360,866,34691,32775,30777,32775,32783,32782,55672,285
11361,866,34723,32775,30697,32777,32783,32782,55666,289
11362,868,34718,32773,30701,32775,32781,32784,55683,293
11363,866,34717,32774,30754,32779,32782,32783,55664,286
11364,865,34727,32776,30774,32780,32782,32784,55658,285
11365,870,34709,32775,30700,32779,32783,32782,55664,291
11366,867,34706,32776,30708,32776,32782,32783,55661,284
11367,915,34747,32775,30723,32778,32781,32782,55658,288
11368,867,34712,32776,30699,32778,32780,32784,55669,294
11369,866,34722,32777,30752,32777,32781,32783,55660,290
11370,862,34692,32774,30810,32778,32781,32783,55662,288
11371,863,34732,32776,30799,32778,32782,32781,55667,289
11372,865,34740,32775,30717,32779,32781,32781,55668,288
11373,866,34692,32776,30736,32777,32781,32783,55667,288
11374,866,34754,32776,30791,32779,32781,32782,55668,289
11375,866,34746,32775,30807,32777,32780,32782,55668,288
11376,866,34705,32775,30752,32777,32783,32783,55669,288
11377,862,34734,32776,30722,32779,32781,32782,55668,288
11378,866,34754,32775,30768,32778,32781,32783,55668,289
11379,870,34663,32774,30742,32777,32784,32784,55683,291
11380,865,34702,32776,30757,32777,32784,32782,55660,283
11381,866,34728,32775,30674,32778,32784,32783,55669,288
11382,868,34712,32775,30746,32778,32783,32783,55664,289
11383,868,34736,32776,30783,32778,32782,32783,55666,289
11384,866,34753,32777,30808,32778,32781,32783,55668,288
11385,866,34709,32776,30732,32778,32780,32783,55667,288
11386,866,34708,32775,30695,32778,32782,32783,55674,291
11387,865,34712,32774,30733,32777,32781,32782,55668,292
11388,867,34702,32775,30811,32778,32782,32783,55660,287
11395,871,34722,32776,30738,32777,32783,32783,55669,279
11396,866,34733,32775,30767,32777,32784,32783,55664,292
11397,923,34705,32776,30797,32778,32781,32783,55653,288
11398,863,34665,32776,30768,32778,32782,32783,55668,286
11399,865,34703,32775,30739,32779,32781,32781,55661,284
11400,867,34705,32776,30671,32778,32784,32781,55673,291
11401,863,34680,32776,30723,32779,32783,32783,55666,285
11402,871,34719,32777,30749,32779,32782,32784,55658,283
11403,864,34721,32775,30774,32778,32783,32782,55671,289
11404,866,34675,32775,30701,32777,32782,32783,55661,282
11405,914,34746,32775,30822,32777,32780,32782,55659,288
11406,862,34679,32776,30719,32779,32781,32784,55657,289
11407,865,34713,32775,30696,32779,32780,32781,55663,291
11408,865,34714,32775,30745,32778,32782,32782,55673,296
11409,866,34665,32776,30763,32780,32781,32782,55663,285
11410,920,34754,32776,30791,32777,32781,32783,55655,287
11411,867,34749,32777,30785,32779,32781,32784,55670,287
11412,866,34727,32776,30719,32777,32781,32783,55669,290
11413,867,34666,32776,30667,32777,32782,32783,55682,291
11414,866,34720,32776,30730,32777,32783,32782,55662,279
11415,865,34732,32774,30773,32778,32783,32783,55665,293
11416,864,34682,32776,30778,32778,32783,32783,55670,286
11417,865,34725,32775,30696,32779,32783,32783,55656,283
11418,919,34749,32776,30817,32777,32781,32783,55659,287
11419,865,34734,32774,30696,32777,32783,32782,55670,295
11420,866,34680,32774,30718,32778,32783,32782,55659,286
11421,869,34715,32776,30778,32779,32781,32783,55670,293
11422,865,34739,32776,30786,32779,32781,32784,55662,281
11423,914,34700,32775,30811,32777,32782,32782,55655,286
11424,863,34711,32774,30783,32777,32782,32782,55669,291
11425,864,34683,32775,30730,32777,32783,32782,55670,290
11426,868,34714,32775,30689,32777,32782,32782,55676,287
11427,866,34701,32776,30751,32777,32782,32782,55667,293
11428,865,34680,32777,30782,32778,32781,32783,55659,283
11429,864,34750,32775,30825,32781,32787,32783,55687,283
11430,867,34714,32775,30697,32776,32782,32783,55660,283
11431,865,34663,32775,30728,32776,32783,32784,55664,284
11432,913,34744,32776,30741,32778,32782,32783,55689,290
11433,865,34697,32775,30703,32778,32782,32782,55661,283
11434,866,34734,32775,30744,32777,32782,32781,55669,291
11435,865,34696,32777,30771,32779,32781,32783,55664,283
11436,865,34696,32777,30734,32777,32781,32782,55668,290
11437,932,34748,32775,30786,32778,32781,32782,55658,289
