counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
17325,866,45367,45357,45374,45358,45373,45375,345,339
17326,862,45367,45355,45376,45356,45373,45375,346,338
17327,862,45366,45355,45374,45355,45371,45373,344,340
17328,870,45367,45356,45375,45357,45374,45375,344,340
17329,862,45368,45355,45375,45358,45373,45374,344,340
17330,862,45367,45357,45377,45358,45374,45375,344,340
17331,867,45368,45357,45375,45356,45373,45376,344,339
17332,862,45367,45357,45376,45358,45373,45376,344,340
17333,868,45368,45358,45377,45361,45374,45378,344,337
17334,862,45368,45357,45374,45359,45373,45375,344,337
17335,862,45369,45357,45376,45357,45372,45376,347,340
17336,870,45368,45356,45375,45358,45373,45375,344,340
17337,862,45367,45356,45375,45358,45374,45375,344,340
17338,862,45368,45356,45375,45357,45373,45375,343,340
17339,867,45367,45357,45376,45358,45373,45375,345,340
17340,862,45367,45356,45375,45358,45373,45375,344,340
17341,867,45367,45356,45375,45357,45373,45375,345,340
17342,862,45367,45356,45376,45357,45373,45375,343,340
17343,862,45368,45355,45374,45358,45372,45374,343,339
17344,862,45367,45354,45375,45357,45374,45374,341,342
17345,862,45367,45356,45377,45357,45374,45374,341,341
17346,862,45366,45354,45373,45356,45370,45373,344,339
17347,870,45367,45356,45375,45357,45372,45374,344,341
17348,867,45367,45355,45376,45358,45373,45375,344,341
17349,867,45368,45356,45377,45356,45372,45374,344,340
17350,862,45368,45356,45377,45356,45375,45373,347,342
17351,862,45369,45356,45376,45357,45373,45374,342,341
17352,862,45368,45356,45376,45356,45374,45375,342,342
17353,870,45368,45356,45376,45356,45373,45375,343,339
17354,867,45368,45357,45377,45358,45373,45374,344,340
17355,862,45368,45358,45376,45358,45374,45375,345,340
17356,862,45368,45358,45375,45358,45373,45376,343,340
17357,867,45368,45356,45375,45358,45375,45375,344,340
17358,862,45368,45356,45374,45357,45374,45376,344,339
17359,862,45367,45357,45376,45357,45374,45376,344,340
17360,862,45370,45355,45377,45357,45373,45373,345,343
17361,867,45368,45356,45375,45357,45373,45374,342,340
17362,862,45367,45357,45375,45358,45373,45375,345,338
17363,870,45367,45356,45375,45357,45372,45376,344,340
17364,862,45367,45356,45376,45357,45373,45375,344,340
17365,867,45367,45355,45375,45357,45372,45373,346,341
17366,862,45368,45356,45378,45356,45374,45374,340,341
17367,862,45365,45354,45373,45356,45370,45372,344,340
17368,874,45367,45356,45376,45356,45373,45374,344,339
17369,862,45367,45356,45376,45357,45373,45374,345,340
17370,862,45367,45356,45376,45356,45372,45374,343,340
17371,862,45367,45356,45375,45356,45372,45374,344,340
17372,862,45368,45355,45375,45356,45373,45374,344,341
17373,866,45368,45356,45375,45357,45373,45373,343,339
17374,862,45368,45355,45374,45356,45372,45375,343,339
17375,862,45368,45355,45375,45358,45374,45375,344,341
17376,862,45368,45355,45377,45357,45373,45373,346,342
17377,862,45367,45355,45374,45356,45371,45374,343,341
17378,870,45368,45357,45376,45358,45374,45376,343,340
17379,862,45368,45356,45377,45358,45374,45375,345,340
17380,862,45368,45357,45377,45358,45373,45376,344,339
17381,867,45368,45358,45375,45359,45374,45376,347,341
17382,867,45367,45356,45375,45359,45373,45375,347,339
17383,862,45366,45356,45375,45356,45372,45375,343,340
17384,870,45367,45356,45375,45357,45373,45375,343,339
17385,862,45367,45356,45376,45357,45373,45375,344,341
17386,862,45368,45357,45375,45357,45372,45375,344,341
17387,867,45369,45356,45375,45357,45374,45376,345,340
17388,862,45367,45356,45374,45357,45373,45375,345,340
17389,867,45368,45356,45376,45357,45373,45373,344,342
17390,873,45365,45356,45373,45356,45373,45374,344,342
17391,862,45366,45355,45373,45356,45370,45374,344,340
17392,868,45367,45355,45375,45357,45372,45374,344,339
17393,862,45368,45356,45376,45356,45372,45374,345,339
17394,862,45368,45354,45377,45357,45374,45374,344,342
17395,862,45366,45357,45374,45358,45373,45373,346,342
17396,862,45367,45358,45375,45359,45372,45376,345,337
17397,869,45368,45356,45375,45356,45373,45375,344,339
17398,867,45368,45356,45375,45357,45374,45374,344,339
17399,862,45368,45355,45376,45358,45374,45375,345,341
17400,862,45368,45357,45375,45357,45373,45375,344,340
17401,862,45368,45356,45376,45358,45373,45374,344,340
17402,862,45367,45358,45376,45358,45374,45374,344,340
17403,862,45368,45359,45377,45360,45373,45377,345,338
17404,862,45366,45356,45375,45359,45373,45376,344,337
17405,867,45367,45356,45377,45357,45373,45374,343,342
17406,871,45369,45359,45376,45357,45374,45377,347,337
17407,867,45368,45357,45375,45357,45373,45375,345,337
17408,862,45368,45356,45375,45358,45373,45375,345,339
17409,863,45367,45355,45375,45356,45372,45374,343,340
17410,862,45368,45357,45375,45357,45372,45376,345,340
17411,862,45367,45355,45376,45357,45373,45374,345,341
17412,862,45366,45356,45375,45357,45373,45373,344,340
17413,866,45367,45356,45375,45356,45373,45374,345,340
17414,862,45367,45356,45376,45358,45373,45374,344,340
17415,862,45367,45355,45375,45357,45372,45375,343,340
17416,862,45367,45356,45376,45357,45372,45374,343,340
17417,862,45369,45358,45376,45359,45373,45375,341,341
17418,862,45367,45359,45375,45357,45373,45376,343,343
17419,862,45367,45358,45375,45359,45373,45377,346,336
17420,871,45368,45357,45376,45357,45372,45375,343,340
17421,867,45369,45356,45377,45358,45374,45375,341,341
17422,862,45368,45355,45377,45356,45374,45374,343,341
17423,862,45369,45356,45377,45357,45374,45374,343,340
17424,867,45367,45356,45374,45356,45373,45374,343,339
17425,862,45367,45356,45376,45358,45374,45375,343,340
17426,862,45368,45357,45376,45358,45373,45375,345,340
17427,867,45369,45356,45375,45358,45374,45376,344,341
17428,862,45367,45357,45376,45357,45373,45375,344,340
17429,868,45367,45356,45376,45357,45375,45376,343,341
17430,862,45368,45356,45375,45357,45374,45375,343,338
17431,862,45366,45356,45373,45355,45371,45375,344,340
17432,866,45366,45357,45375,45357,45373,45375,344,338
17433,862,45368,45355,45375,45357,45373,45375,344,340
17434,862,45368,45358,45376,45357,45373,45374,343,339
17435,862,45367,45356,45374,45358,45372,45374,343,341
17436,862,45367,45355,45375,45357,45372,45374,344,340
17437,867,45368,45356,45376,45357,45374,45375,341,344
17438,862,45368,45355,45377,45357,45371,45374,345,339
17439,862,45366,45357,45375,45356,45373,45376,343,336
17440,869,45368,45356,45375,45357,45372,45374,344,339
17441,867,45368,45356,45376,45357,45372,45374,344,339
17442,862,45366,45356,45374,45357,45373,45375,344,340
17443,862,45367,45356,45375,45356,45373,45373,344,340
17444,862,45367,45355,45376,45357,45373,45374,344,340
17445,4375,45368,45357,45375,45358,45374,45374,344,340
17446,864,45368,45357,45376,45358,45374,45376,344,341
17447,862,45368,45356,45375,45357,45374,45375,343,340
17448,862,45367,45357,45377,45358,45374,45376,343,339
17449,862,45367,45357,45377,45357,45374,45375,344,340
17450,862,45368,45357,45376,45357,45373,45375,343,340
17451,862,45368,45356,45376,45356,45373,45375,344,340
17452,862,45367,45356,45375,45357,45372,45376,344,340
17453,869,45367,45356,45375,45356,45373,45375,344,340
17454,862,45367,45356,45376,45358,45372,45373,344,340
17455,862,45367,45356,45376,45357,45373,45374,345,340
17456,862,45368,45356,45376,45356,45372,45374,343,340
17457,862,45367,45356,45376,45357,45372,45373,344,340
17458,862,45366,45356,45375,45358,45374,45378,345,335
17459,862,45366,45355,45375,45358,45372,45374,347,339
17460,862,45366,45357,45375,45356,45372,45374,344,340
17461,871,45368,45356,45376,45358,45372,45373,343,340
17462,862,45366,45356,45376,45357,45372,45375,346,341
17463,862,45367,45355,45376,45357,45372,45375,344,339
17464,862,45367,45357,45376,45358,45373,45375,345,340
17465,862,45367,45356,45375,45358,45375,45375,344,340
17466,862,45367,45356,45374,45357,45372,45374,345,340
17467,868,45367,45357,45376,45357,45373,45375,343,340
17468,867,45368,45356,45375,45358,45373,45376,344,341
17469,863,45368,45355,45376,45356,45375,45376,340,341
17470,862,45368,45356,45376,45356,45375,45374,344,341
17471,862,45367,45356,45375,45356,45372,45375,344,340
17472,865,45367,45356,45376,45357,45373,45375,343,341
17473,862,45367,45357,45376,45357,45374,45374,343,339
17474,862,45368,45356,45375,45357,45373,45374,344,340
17475,867,45368,45358,45376,45357,45373,45376,347,338
17476,862,45367,45357,45376,45358,45373,45375,344,339
17477,867,45366,45356,45375,45356,45371,45373,344,340
17478,868,45367,45356,45375,45357,45372,45374,343,340
17479,862,45367,45355,45376,45358,45372,45374,344,340
17480,862,45368,45355,45376,45357,45372,45373,345,343
17481,862,45368,45356,45375,45356,45373,45375,342,341
17482,867,45366,45355,45374,45356,45371,45373,344,340
17483,865,45367,45357,45376,45358,45373,45375,343,338
17484,864,45368,45357,45376,45357,45374,45375,344,340
17485,863,45367,45355,45376,45357,45374,45375,342,341
17486,862,45368,45356,45377,45358,45374,45375,343,339
17487,862,45368,45357,45375,45358,45373,45376,344,339
17488,872,45368,45357,45375,45356,45374,45374,344,340
17489,864,45368,45356,45377,45357,45373,45375,344,340
17490,862,45369,45356,45376,45357,45374,45376,345,341
17491,862,45368,45356,45377,45358,45375,45376,344,340
17492,862,45367,45356,45376,45358,45373,45375,344,341
17493,864,45369,45355,45376,45358,45374,45376,341,341
