Date,Time,time_passed_since_start,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
2026-03-17,00:32:24.062294,0,28,0.105,47,0.17625,4,0.009,0
2026-03-17,00:32:24.062294,31,73,0.27375,79,0.29625,4,0.009,0
2026-03-17,00:32:24.062294,63,85,0.31875,88,0.33,3,0.00675,0
2026-03-17,00:32:24.062294,94,89,0.33375,92,0.345,3,0.00675,0
2026-03-17,00:32:24.062294,126,89,0.33375,91,0.34125,3,0.00675,0
2026-03-17,00:32:24.062294,157,90,0.3375,93,0.34875,4,0.009,0
2026-03-17,00:32:24.062294,188,90,0.3375,92,0.345,3,0.00675,0
2026-03-17,00:32:24.062294,220,90,0.3375,93,0.34875,4,0.009,0
2026-03-17,00:32:24.062294,251,91,0.34125,94,0.3525,4,0.009,0
2026-03-17,00:32:24.062294,283,92,0.345,91,0.34125,4,0.009,0
2026-03-17,00:32:24.062294,314,89,0.33375,93,0.34875,4,0.009,0
2026-03-17,00:32:24.062294,346,91,0.34125,93,0.34875,5,0.01125,0
2026-03-17,00:32:24.062294,377,91,0.34125,94,0.3525,4,0.009,0
2026-03-17,00:32:24.062294,409,89,0.33375,92,0.345,4,0.009,0
2026-03-17,00:32:24.062294,440,91,0.34125,93,0.34875,3,0.00675,0
2026-03-17,00:32:24.062294,471,91,0.34125,93,0.34875,3,0.00675,0
2026-03-17,00:32:24.062294,503,90,0.3375,94,0.3525,4,0.009,0
2026-03-17,00:32:24.062294,534,90,0.3375,94,0.3525,3,0.00675,0
2026-03-17,00:32:24.062294,566,90,0.3375,94,0.3525,4,0.009,0
2026-03-17,00:32:24.062294,597,91,0.34125,94,0.3525,4,0.009,0
2026-03-17,00:32:24.062294,629,91,0.34125,93,0.34875,3,0.00675,0
2026-03-17,00:32:24.062294,660,90,0.3375,94,0.3525,4,0.009,0
2026-03-17,00:32:24.062294,691,92,0.345,93,0.34875,3,0.00675,0
2026-03-17,00:32:24.062294,723,90,0.3375,94,0.3525,4,0.009,0
2026-03-17,00:32:24.062294,754,90,0.3375,93,0.34875,2,0.0045,0
2026-03-17,00:32:47.713447,0,31,0.11625,46,0.1725,3,0.00675,0
2026-03-17,00:32:47.713447,32,75,0.28125,78,0.2925,4,0.009,0
2026-03-17,00:32:47.713447,63,84,0.315,89,0.33375,4,0.009,0
2026-03-17,00:32:47.713447,95,89,0.33375,91,0.34125,4,0.009,0
2026-03-17,00:32:47.713447,127,88,0.33,91,0.34125,3,0.00675,0
2026-03-17,00:32:47.713447,158,89,0.33375,93,0.34875,3,0.00675,0
2026-03-17,00:32:47.713447,189,91,0.34125,92,0.345,4,0.009,0
2026-03-17,00:32:47.713447,221,90,0.3375,92,0.345,4,0.009,0
2026-03-17,00:32:47.713447,252,90,0.3375,91,0.34125,3,0.00675,0
