Date,Time,time_passed_since_start,ADS Reading 1,Current 1,ADS Reading 2,Current 2,ADS Reading 3,Volts 1,Lost Data
2026-05-08,15:04:43.128611,0,-36,-0.135,-7,-0.02625,11108,24.993,0
2026-05-08,15:04:43.128611,60,-42,-0.1575,-6,-0.0225,11109,24.99525,0
2026-05-08,15:04:43.128611,92,-44,-0.165,-3,-0.01125,11109,24.99525,0
2026-05-08,15:04:43.128611,124,-42,-0.1575,-5,-0.01875,11107,24.99075,0
2026-05-08,15:04:43.128611,155,-37,-0.13875,-6,-0.0225,11108,24.993,0
2026-05-08,15:04:43.128611,186,-33,-0.12375,-8,-0.03,11108,24.993,0
2026-05-08,15:04:43.128611,218,-36,-0.135,-9,-0.03375,11107,24.99075,0
2026-05-08,15:04:43.128611,249,-36,-0.135,-8,-0.03,11107,24.99075,0
2026-05-08,15:04:43.128611,280,-36,-0.135,-1,-0.00375,11107,24.99075,0
2026-05-08,15:04:43.128611,312,-35,-0.13125,1,0.00375,11108,24.993,0
2026-05-08,15:04:43.128611,343,-39,-0.14625,3,0.01125,11109,24.99525,0
2026-05-08,15:04:43.128611,375,-37,-0.13875,-6,-0.0225,11107,24.99075,0
2026-05-08,15:04:43.128611,406,-40,-0.15,3,0.01125,11108,24.993,0
2026-05-08,15:04:43.128611,437,-35,-0.13125,2,0.0075,11107,24.99075,0
2026-05-08,15:04:43.128611,469,-35,-0.13125,-1,-0.00375,11110,24.9975,0
2026-05-08,15:04:43.128611,500,-44,-0.165,0,0,11107,24.99075,0
2026-05-08,15:04:43.128611,532,-42,-0.1575,-2,-0.0075,11109,24.99525,0
2026-05-08,15:04:43.128611,563,-41,-0.15375,4,0.015,11108,24.993,0
2026-05-08,15:04:43.128611,594,-41,-0.15375,0,0,11108,24.993,0
2026-05-08,15:04:43.128611,626,-52,-0.195,-3,-0.01125,11108,24.993,0
2026-05-08,15:04:44.045124,842,-38,-0.1425,2,0.0075,11108,24.993,0
2026-05-08,15:04:44.045124,970,-39,-0.14625,1,0.00375,11108,24.993,0
2026-05-08,15:04:44.045124,1001,-38,-0.1425,1,0.00375,11109,24.99525,0
2026-05-08,15:04:44.045124,1033,-46,-0.1725,2,0.0075,11107,24.99075,0
2026-05-08,15:04:44.045124,1064,-45,-0.16875,3,0.01125,11107,24.99075,0
2026-05-08,15:04:44.045124,1095,-39,-0.14625,-2,-0.0075,11109,24.99525,0
2026-05-08,15:04:44.045124,1127,-47,-0.17625,-1,-0.00375,11108,24.993,0
2026-05-08,15:04:44.045124,1158,-40,-0.15,3,0.01125,11108,24.993,0
2026-05-08,15:04:44.045124,1190,-46,-0.1725,-3,-0.01125,11107,24.99075,0
2026-05-08,15:04:44.045124,1221,-46,-0.1725,-7,-0.02625,11108,24.993,0
2026-05-08,15:04:44.045124,1253,-46,-0.1725,-4,-0.015,11108,24.993,0
2026-05-08,15:04:44.045124,1284,-37,-0.13875,0,0,11109,24.99525,0
2026-05-08,15:04:44.045124,1315,-36,-0.135,-7,-0.02625,11108,24.993,0
2026-05-08,15:04:44.045124,1347,-34,-0.1275,0,0,11107,24.99075,0
2026-05-08,15:04:44.045124,1378,-44,-0.165,5,0.01875,11106,24.9885,0
2026-05-08,15:04:44.045124,1409,-42,-0.1575,1,0.00375,11108,24.993,0
2026-05-08,15:04:44.045124,1441,-34,-0.1275,0,0,11107,24.99075,0
2026-05-08,15:04:44.045124,1472,-40,-0.15,-1,-0.00375,11109,24.99525,0
2026-05-08,15:04:44.045124,1504,-47,-0.17625,2,0.0075,11107,24.99075,0
2026-05-08,15:04:44.045124,1535,-41,-0.15375,3,0.01125,11109,24.99525,0
2026-05-08,15:04:44.852636,1707,-40,-0.15,-5,-0.01875,11107,24.99075,0
2026-05-08,15:04:44.852636,1837,-47,-0.17625,3,0.01125,11108,24.993,0
2026-05-08,15:04:44.852636,1869,-40,-0.15,7,0.02625,11109,24.99525,0
2026-05-08,15:04:44.852636,1901,-43,-0.16125,-3,-0.01125,11108,24.993,0
2026-05-08,15:04:44.852636,1932,-42,-0.1575,-3,-0.01125,11109,24.99525,0
2026-05-08,15:04:44.852636,1964,-42,-0.1575,-3,-0.01125,11107,24.99075,0
2026-05-08,15:04:44.852636,1995,-52,-0.195,-3,-0.01125,11108,24.993,0
2026-05-08,15:04:44.852636,2026,-47,-0.17625,-6,-0.0225,11108,24.993,0
2026-05-08,15:04:44.852636,2058,-45,-0.16875,1,0.00375,11108,24.993,0
2026-05-08,15:04:44.852636,2089,-44,-0.165,10,0.0375,11106,24.9885,0
2026-05-08,15:04:44.852636,2120,-43,-0.16125,7,0.02625,11108,24.993,0
2026-05-08,15:04:44.852636,2152,-47,-0.17625,-3,-0.01125,11109,24.99525,0
2026-05-08,15:04:44.852636,2183,-41,-0.15375,-3,-0.01125,11107,24.99075,0
2026-05-08,15:04:44.852636,2215,-42,-0.1575,8,0.03,11106,24.9885,0
2026-05-08,15:04:44.852636,2246,-46,-0.1725,5,0.01875,11110,24.9975,0
2026-05-08,15:04:44.852636,2278,-41,-0.15375,6,0.0225,11106,24.9885,0
2026-05-08,15:04:44.852636,2309,-34,-0.1275,12,0.045,11107,24.99075,0
2026-05-08,15:04:44.852636,2340,-33,-0.12375,9,0.03375,11108,24.993,0
2026-05-08,15:04:44.852636,2372,-40,-0.15,0,0,11107,24.99075,0
2026-05-08,15:04:44.852636,2403,-35,-0.13125,-3,-0.01125,11108,24.993,0
2026-05-08,15:04:45.672318,2515,-40,-0.15,-5,-0.01875,11109,24.99525,0
2026-05-08,15:04:45.672318,2645,-42,-0.1575,1,0.00375,11108,24.993,0
2026-05-08,15:04:45.672318,2677,-43,-0.16125,5,0.01875,11108,24.993,0
2026-05-08,15:04:45.672318,2709,-41,-0.15375,1,0.00375,11108,24.993,0
2026-05-08,15:04:45.672318,2740,-45,-0.16875,-1,-0.00375,11108,24.993,0
2026-05-08,15:04:45.672318,2772,-32,-0.12,4,0.015,11109,24.99525,0
2026-05-08,15:04:45.672318,2803,-36,-0.135,4,0.015,11108,24.993,0
2026-05-08,15:04:45.672318,2834,-32,-0.12,7,0.02625,11107,24.99075,0
2026-05-08,15:04:45.672318,2865,-47,-0.17625,1,0.00375,11107,24.99075,0
2026-05-08,15:04:45.672318,2897,-49,-0.18375,-4,-0.015,11109,24.99525,0
2026-05-08,15:04:45.672318,2928,-36,-0.135,2,0.0075,11108,24.993,0
2026-05-08,15:04:45.672318,2960,-40,-0.15,-2,-0.0075,11108,24.993,0
2026-05-08,15:04:45.672318,2991,-43,-0.16125,-1,-0.00375,11107,24.99075,0
2026-05-08,15:04:45.672318,3023,-48,-0.18,-2,-0.0075,11108,24.993,0
2026-05-08,15:04:45.672318,3054,-47,-0.17625,3,0.01125,11109,24.99525,0
2026-05-08,15:04:45.672318,3086,-46,-0.1725,3,0.01125,11108,24.993,0
2026-05-08,15:04:45.672318,3117,-48,-0.18,-3,-0.01125,11108,24.993,0
2026-05-08,15:04:45.672318,3148,-43,-0.16125,7,0.02625,11108,24.993,0
2026-05-08,15:04:45.672318,3179,-44,-0.165,4,0.015,11109,24.99525,0
2026-05-08,15:04:45.672318,3211,-39,-0.14625,11,0.04125,11108,24.993,0
2026-05-08,15:04:46.481585,3339,-45,-0.16875,0,0,11108,24.993,0
2026-05-08,15:04:46.481585,3468,-40,-0.15,-1,-0.00375,11109,24.99525,0
2026-05-08,15:04:46.481585,3500,-38,-0.1425,0,0,11106,24.9885,0
2026-05-08,15:04:46.481585,3531,-35,-0.13125,1,0.00375,11109,24.99525,0
2026-05-08,15:04:46.481585,3562,-30,-0.1125,-3,-0.01125,11108,24.993,0
2026-05-08,15:04:46.481585,3594,-38,-0.1425,2,0.0075,11108,24.993,0
2026-05-08,15:04:46.481585,3625,-48,-0.18,0,0,11106,24.9885,0
2026-05-08,15:04:46.481585,3656,-36,-0.135,-11,-0.04125,11109,24.99525,0
2026-05-08,15:04:46.481585,3688,-37,-0.13875,3,0.01125,11108,24.993,0
2026-05-08,15:04:46.481585,3719,-41,-0.15375,-4,-0.015,11110,24.9975,0
2026-05-08,15:04:46.481585,3751,-38,-0.1425,2,0.0075,11108,24.993,0
2026-05-08,15:04:46.481585,3782,-39,-0.14625,0,0,11108,24.993,0
2026-05-08,15:04:46.481585,3813,-40,-0.15,2,0.0075,11108,24.993,0
2026-05-08,15:04:46.481585,3845,-41,-0.15375,0,0,11108,24.993,0
2026-05-08,15:04:46.481585,3876,-31,-0.11625,-1,-0.00375,11107,24.99075,0
2026-05-08,15:04:46.481585,3908,-35,-0.13125,-2,-0.0075,11107,24.99075,0
2026-05-08,15:04:46.481585,3939,-38,-0.1425,-6,-0.0225,11109,24.99525,0
2026-05-08,15:04:46.481585,3970,-45,-0.16875,3,0.01125,11110,24.9975,0
2026-05-08,15:04:46.481585,4002,-44,-0.165,0,0,11108,24.993,0
2026-05-08,15:04:46.481585,4033,-37,-0.13875,2,0.0075,11108,24.993,0
2026-05-08,15:04:47.385832,4146,-42,-0.1575,0,0,11106,24.9885,0
2026-05-08,15:04:47.385832,4274,-41,-0.15375,0,0,11108,24.993,0
2026-05-08,15:04:47.385832,4305,-45,-0.16875,2,0.0075,11108,24.993,0
2026-05-08,15:04:47.385832,4337,-37,-0.13875,-1,-0.00375,11109,24.99525,0
2026-05-08,15:04:47.385832,4368,-39,-0.14625,1,0.00375,11108,24.993,0
2026-05-08,15:04:47.385832,4399,-41,-0.15375,1,0.00375,11107,24.99075,0
2026-05-08,15:04:47.385832,4431,-42,-0.1575,2,0.0075,11109,24.99525,0
2026-05-08,15:04:47.385832,4462,-39,-0.14625,4,0.015,11109,24.99525,0
2026-05-08,15:04:47.385832,4494,-35,-0.13125,-1,-0.00375,11109,24.99525,0
2026-05-08,15:04:47.385832,4526,-32,-0.12,0,0,11108,24.993,0
2026-05-08,15:04:47.385832,4557,-40,-0.15,3,0.01125,11109,24.99525,0
2026-05-08,15:04:47.385832,4588,-41,-0.15375,7,0.02625,11108,24.993,0
2026-05-08,15:04:47.385832,4620,-38,-0.1425,-8,-0.03,11107,24.99075,0
2026-05-08,15:04:47.385832,4651,-36,-0.135,-5,-0.01875,11108,24.993,0
2026-05-08,15:04:47.385832,4682,-31,-0.11625,3,0.01125,11109,24.99525,0
2026-05-08,15:04:47.385832,4714,-40,-0.15,-1,-0.00375,11107,24.99075,0
