date,time,time_passed_since_start,adc0_1,adc1_1,adc2_1,adc3_1,adc3_2,Lost Data
2026-02-25,01:54:53.673595,22088,363,334,325,339,-0.004725,16
2026-02-25,01:54:53.673595,23196,367,324,328,327,-0.004725,16
2026-02-25,01:54:53.673595,24302,368,331,327,336,-0.007087,16
2026-02-25,01:54:53.673595,25410,371,329,329,333,-0.004725,16
2026-02-25,01:54:53.673595,26518,361,330,329,333,-0.004725,16
2026-02-25,01:54:59.164805,27673,369,327,327,328,-0.004725,0
2026-02-25,01:54:59.164805,28758,367,328,327,336,-0.004725,0
2026-02-25,01:54:59.164805,29843,360,332,326,337,-0.004725,0
2026-02-25,01:54:59.164805,30928,366,327,331,329,-0.004725,0
2026-02-25,01:54:59.164805,32013,363,331,330,335,-0.007087,0
2026-02-25,01:55:04.628597,33145,370,329,328,331,-0.004725,0
2026-02-25,01:55:04.628597,34229,369,328,331,330,-0.004725,0
2026-02-25,01:55:04.628597,35314,365,333,326,338,-0.004725,0
2026-02-25,01:55:04.628597,36398,367,333,326,337,-0.004725,0
2026-02-25,01:55:04.628597,37483,371,325,331,329,-0.004725,0
2026-02-25,01:55:10.107374,38616,363,333,326,338,-0.007087,0
2026-02-25,01:55:10.107374,39701,372,328,331,330,-0.004725,0
2026-02-25,01:55:10.107374,40785,364,328,329,330,-0.004725,0
2026-02-25,01:55:10.107374,41870,366,331,325,339,-0.004725,0
2026-02-25,01:55:10.107374,42954,357,332,326,336,-0.004725,0
2026-02-25,01:55:15.566887,44096,370,328,328,331,-0.004725,0
2026-02-25,01:55:15.566887,45180,371,326,331,331,-0.004725,0
2026-02-25,01:55:15.566887,46265,360,334,326,339,-0.004725,0
2026-02-25,01:55:15.566887,47349,368,332,327,337,-0.004725,0
2026-02-25,01:55:15.566887,48434,371,328,331,329,-0.004725,0
2026-02-25,01:55:21.033728,49566,362,333,326,337,-0.004725,0
2026-02-25,01:55:21.033728,50651,362,325,328,328,-0.004725,0
2026-02-25,01:55:21.033728,51735,370,330,331,331,-0.007087,0
2026-02-25,01:55:21.033728,52820,365,332,325,339,-0.004725,0
2026-02-25,01:55:21.033728,53904,367,332,327,335,-0.004725,0
2026-02-25,01:55:26.504491,55037,352,334,326,338,-0.004725,0
2026-02-25,01:55:26.504491,56123,370,332,323,335,-0.004725,0
2026-02-25,01:55:26.504491,57208,369,326,332,330,-0.007087,0
2026-02-25,01:55:26.504491,58292,361,328,326,333,-0.004725,0
2026-02-25,01:55:26.504491,59375,365,332,326,339,-0.004725,0
2026-02-25,01:55:31.985333,60507,370,327,330,331,-0.004725,0
2026-02-25,01:55:31.985333,61591,357,330,325,335,-0.004725,0
2026-02-25,01:55:31.985333,62674,362,330,323,334,-0.004725,0
2026-02-25,01:55:31.985333,63758,370,331,329,332,-0.004725,0
2026-02-25,01:55:31.985333,64842,359,328,331,329,-0.004725,0
